E,Tau,Smoothness
6,1,0.040759
6,2,0.135251
6,3,0.177065
6,4,0.143401
6,5,0.147826
6,6,0.195743
6,7,0.191039
6,8,0.220492
6,9,0.253157
6,10,0.204758
6,11,0.134389
6,12,0.203172
7,1,0.221834
7,2,0.273863
7,3,0.330683
7,4,0.285865
7,5,0.287806
7,6,0.343615
7,7,0.336001
7,8,0.313668
7,9,0.344392
7,10,0.337466
7,11,0.333408
7,12,0.352288
8,1,0.319765
8,2,0.383596
8,3,0.407504
8,4,0.453356
8,5,0.356890
8,6,0.479099
8,7,0.414590
8,8,0.419769
8,9,0.436570
8,10,0.430355
8,11,0.441842
8,12,0.443475
9,1,0.411065
9,2,0.444895
9,3,0.474426
9,4,0.491878
9,5,0.482141
9,6,0.534045
