E,Tau,Smoothness
9,3,0.398886
9,4,0.425282
9,5,0.433155
9,6,0.427697
9,7,0.468784
10,3,0.480645
10,4,0.495681
10,5,0.516666
10,6,0.465061
10,7,0.503078
11,3,0.510294
602745015003347651773488778435197691287942309355716608.000000
9,6,-197454831828262297043241623049151784762471414260900971937792.000000
9,7,-598419077844166728459197427094781902354645645780729250971648.000000
10,3,-717176272744085020099806877668125903730874701822775305175040.000000
10,4,-735886724887093132138420719965293313802866738148093311582208.000000
10,5,-146131851016663485177490733140240109469876948461383080476672.000000
10,6,-195399266723814102298285342900972959709087352307493820694528.000000
10,7,-350284967005208713715362242963297614678603753671708756672512.000000
11,3,-864050759626824627082864827214767429994041016730299433746432.000000
11,4,-346855552391241253396995650696942011507638988502319591587840.000000
11,5,-138507080627018151087144211311115952530577610826057491939328.000000
11,6,-389892856642500274539155890601121786466654997862417289969664.000000
11,7,-140763972049842175097952955066124902509135569036158036869120.000000
