E,Tau,Smoothness
6,1,-0.033978
6,2,0.088677
6,3,0.151234
6,4,0.106123
6,5,0.153523
6,6,0.179698
6,7,0.177009
6,8,0.175878
6,9,0.219869
6,10,0.136270
6,11,0.125531
6,12,0.236993
7,1,0.114792
7,2,0.243779
7,3,0.300336
7,4,0.302516
7,5,0.294839
7,6,0.318236
7,7,0.291363
7,8,0.311931
7,9,0.336687
7,10,0.298304
7,11,0.287586
7,12,0.336887
8,1,0.258269
8,2,0.378224
8,3,0.397017
8,4,0.368366
8,5,0.358670
8,6,0.427595
8,7,0.424025
8,8,0.447758
8,9,0.437604
8,10,0.397518
8,11,0.387282
8,12,0.425471
9,1,0.345923
9,2,0.458617
9,3,0.473714
9,4,0.460943
9,5,0.464312
9,6,0.505524
