E,Tau,Smoothness
9,3,0.433518
9,4,0.464144
9,5,0.469759
9,6,0.497628
9,7,0.507515
10,3,0.468327
10,4,0.497023
10,5,0.530400
10,6,0.461880
10,7,0.472083
11,3,0.486270
11,4,0.509399
5598445833214030219117199620046848.000000
9,6,-6478416265277431607256037905071425504346920930248803483648.000000
9,7,-5831553145302391368331161472608453259503309655240580530176.000000
10,3,-10083660657425857685494532524685458574889916956107547344896.000000
10,4,-21794504132151567176276735670418100771333354710227478380544.000000
10,5,-11954758851307568972825010793256884097208986150889911746560.000000
10,6,-6298069956815779478478296857174298233138749915775908184064.000000
10,7,-5833911233917555887317634626382642941359061199953198055424.000000
11,3,-10085404833046952905369532169207682308026387252833136148480.000000
11,4,-16885845993386903875253852432610254776159375508327752531968.000000
11,5,-16148985265212745325440624836897141424086325818596178001920.000000
11,6,-4725189369240903089399393309641492582534787212586174644224.000000
11,7,-5836271230371406425686575477065111837781408406080021594112.000000
