E,Tau,Smoothness
11,8,0.577070
11,9,0.574365
11,10,0.558055
11,11,0.568566
11,12,0.585615
11,13,0.568312
11,14,0.585429
11,15,0.582321
11,16,0.582675
11,17,0.563875
11,18,0.544763
11,19,0.575753
11,20,0.565380
11,21,0.607774
11,22,0.568943
11,23,0.579949
11,24,0.558106
11,25,0.544355
11,26,0.550629
11,27,0.555924
11,28,0.574022
11,29,0.569384
11,30,0.575832
11,31,0.559748
11,32,0.572635
11,33,0.527749
11,34,0.531488
11,35,0.522896
11,36,0.574039
11,37,0.545957
11,38,0.617663
11,39,0.538981
11,40,0.571533
11,41,0.548012
11,42,0.622461
11,43,0.601804
11,44,0.581473
11,45,0.601987
11,46,0.587387
11,47,0.602931
11,48,0.615872
11,49,0.635560
11,50,0.602803
11,51,0.661826
11,52,0.616163
11,53,0.658976
11,54,0.656031
11,55,0.673511
11,56,0.664198
11,57,0.633050
11,58,0.663694
11,59,0.657861
11,60,0.659290
12,1,0.460848
12,2,0.563165
12,3,0.581998
12,4,0.577742
12,5,0.608902
12,6,0.607249
12,7,0.581847
12,8,0.611392
12,9,0.597883
12,10,0.589711
12,11,0.615667
12,12,0.633161
12,13,0.605884
12,14,0.622794
12,15,0.609158
12,16,0.604562
12,17,0.587120
12,18,0.580673
12,19,0.606067
12,20,0.608549
12,21,0.619667
12,22,0.585386
12,23,0.618785
12,24,0.600329
12,25,0.565482
12,26,0.570802
12,27,0.595288
12,28,0.614043
12,29,0.606014
12,30,0.593077
12,31,0.616222
12,32,0.612772
12,33,0.553674
12,34,0.564830
12,35,0.592081
12,36,0.614930
12,37,0.600582
12,38,0.657882
12,39,0.584331
12,40,0.627028
12,41,0.630265
12,42,0.694807
12,43,0.645752
12,44,0.622021
12,45,0.646597
12,46,0.681670
12,47,0.669266
12,48,0.664520
12,49,0.691409
12,50,0.688680
12,51,0.700571
12,52,0.640463
12,53,0.729688
12,54,0.737693
12,55,0.751124
12,56,0.678188
12,57,0.713104
13,1,0.533287
13,2,0.589581
13,3,0.632067
13,4,0.605941
13,5,0.631155
13,6,0.628869
13,7,0.638754
13,8,0.636793
13,9,0.616456
13,10,0.650603
13,11,0.652663
13,12,0.657214
13,13,0.630665
13,14,0.666001
13,15,0.638774
13,16,0.637627
13,17,0.618463
13,18,0.623666
13,19,0.631857
13,20,0.630466
13,21,0.655091
13,22,0.614928
13,23,0.627459
13,24,0.633699
13,25,0.604521
13,26,0.613080
13,27,0.627940
13,28,0.629378
13,29,0.621400
13,30,0.621860
13,31,0.667611
13,32,0.651152
13,33,0.609706
13,34,0.630543
13,35,0.644008
13,36,0.661636
13,37,0.675588
13,38,0.702128
13,39,0.642619
13,40,0.675147
13,41,0.706626
13,42,0.712601
13,43,0.722583
13,44,0.676061
13,45,0.711932
13,46,0.719768
13,47,0.722736
13,48,0.706140
13,49,0.726215
13,50,0.699193
13,51,0.741853
13,52,0.715396
14,1,0.570713
14,2,0.621130
14,3,0.645230
14,4,0.648157
14,5,0.658199
14,6,0.646341
14,7,0.665641
14,8,0.669860
14,9,0.640246
14,10,0.671510
14,11,0.669796
14,12,0.670455
14,13,0.667748
14,14,0.682649
14,15,0.685660
14,16,0.654008
14,17,0.658768
14,18,0.650456
14,19,0.656973
14,20,0.669231
14,21,0.675129
14,22,0.640894
14,23,0.662478
14,24,0.659290
14,25,0.640980
14,26,0.648043
14,27,0.649845
14,28,0.659733
14,29,0.648609
14,30,0.683447
14,31,0.713952
14,32,0.671057
14,33,0.647793
14,34,0.695703
14,35,0.686343
14,36,0.703376
14,37,0.719137
14,38,0.738684
14,39,0.700486
14,40,0.712721
14,41,0.772490
14,42,0.747867
14,43,0.727270
14,44,0.710157
14,45,0.744147
14,46,0.752199
14,47,0.735744
14,48,0.756569
15,1,0.596970
15,2,0.657403
15,3,0.671711
15,4,0.677806
15,5,0.682097
15,6,0.677175
15,7,0.697578
15,8,0.700537
15,9,0.675767
15,10,0.691244
15,11,0.679825
15,12,0.694686
15,13,0.688060
15,14,0.709729
15,15,0.694014
15,16,0.699490
15,17,0.666854
15,18,0.681165
15,19,0.678124
15,20,0.687628
15,21,0.673391
15,22,0.684614
15,23,0.684471
15,24,0.682920
15,25,0.660548
15,26,0.672689
15,27,0.668774
15,28,0.702350
15,29,0.659646
15,30,0.706277
15,31,0.740094
15,32,0.698373
15,33,0.679437
15,34,0.735074
15,35,0.710092
15,36,0.740713
15,37,0.761167
15,38,0.772699
15,39,0.737651
15,40,0.742040
15,41,0.772364
15,42,0.765305
15,43,0.776818
15,44,0.751467
16,1,0.623936
16,2,0.683445
16,3,0.688924
16,4,0.695334
16,5,0.709818
16,6,0.697546
16,7,0.714338
16,8,0.726681
16,9,0.701608
16,10,0.708978
16,11,0.693057
16,12,0.712303
16,13,0.703290
16,14,0.723725
16,15,0.696808
16,16,0.721691
16,17,0.699487
16,18,0.684517
16,19,0.702439
16,20,0.694560
16,21,0.694957
16,22,0.708201
16,23,0.692747
16,24,0.699718
16,25,0.695604
16,26,0.717212
16,27,0.719535
16,28,0.734333
16,29,0.715996
16,30,0.736154
16,31,0.772537
16,32,0.719238
16,33,0.719081
16,34,0.740256
16,35,0.754737
16,36,0.770937
16,37,0.779326
16,38,0.765819
16,39,0.763622
16,40,0.777778
16,41,0.770768
17,1,0.653693
17,2,0.696560
17,3,0.708072
17,4,0.704793
17,5,0.725419
17,6,0.713985
17,7,0.731509
17,8,0.733434
17,9,0.725400
17,10,0.719896
17,11,0.701256
17,12,0.729281
17,13,0.713922
17,14,0.741292
17,15,0.696738
17,16,0.738493
17,17,0.705724
17,18,0.707497
17,19,0.730906
17,20,0.711165
17,21,0.712785
17,22,0.722963
17,23,0.714157
17,24,0.725623
17,25,0.718715
17,26,0.718404
17,27,0.736479
17,28,0.750581
17,29,0.752704
17,30,0.767196
17,31,0.781800
17,32,0.758902
17,33,0.765202
17,34,0.758712
17,35,0.763965
17,36,0.783611
17,37,0.787918
17,38,0.789907
17,39,0.808783
