E,Tau,Smoothness
6,1,-0.016036
6,2,0.089945
6,3,0.145088
6,4,0.205865
6,5,0.214344
6,6,0.227128
6,7,0.248271
6,8,0.225626
6,9,0.254398
6,10,0.253532
6,11,0.251725
6,12,0.232483
7,1,0.084219
7,2,0.175809
7,3,0.258563
7,4,0.315989
7,5,0.343139
7,6,0.341125
7,7,0.378687
7,8,0.359515
7,9,0.388392
7,10,0.380436
7,11,0.384299
7,12,0.374916
8,1,0.135214
8,2,0.272325
8,3,0.371365
8,4,0.422494
8,5,0.446944
8,6,0.449433
8,7,0.486702
8,8,0.463605
8,9,0.490987
8,10,0.495214
8,11,0.491810
8,12,0.489303
9,1,0.192476
9,2,0.364795
9,3,0.468912
9,4,0.507419
