E,Tau,Smoothness
6,1,-0.199909
6,2,-0.047522
6,3,-0.084364
6,4,-0.036007
6,5,-0.066181
6,6,-0.068266
6,7,-0.086267
6,8,-0.013752
6,9,-0.031714
6,10,0.015402
6,11,0.032356
6,12,0.013344
7,1,0.043454
7,2,0.234781
7,3,0.139727
7,4,0.170527
7,5,0.190160
7,6,0.150030
7,7,0.145468
7,8,0.173617
7,9,0.204574
7,10,0.196927
7,11,0.232044
7,12,0.213371
8,1,0.182218
8,2,0.319754
8,3,0.289422
8,4,0.280043
8,5,0.326238
8,6,0.300145
8,7,0.296684
8,8,0.307569
8,9,0.316028
8,10,0.309237
8,11,0.327543
8,12,0.356341
9,1,0.316116
9,2,0.394519
9,3,0.367962
9,4,0.414036
9,5,0.422899
9,6,0.393535
9,7,0.389988
9,8,0.409930
9,9,0.435632
9,10,0.436242
9,11,0.417069
9,12,0.422447
10,1,0.379792
10,2,0.463373
10,3,0.452182
10,4,0.471433
10,5,0.475998
10,6,0.485305
10,7,0.462271
10,8,0.468096
10,9,0.515110
