E,Tau,Smoothness
9,3,0.483070
9,4,0.507440
9,5,0.433274
9,6,0.413210
9,7,0.455912
10,3,0.468881
10,4,0.497410
10,5,0.509550
85113749658931876044210176.000000
9,5,-3082919584378745234040800447068714670533932108726859378720768.000000
9,6,-4559886134726636039452882117501563573085248487909719730552832.000000
9,7,-1195112759379808664426449068921562108466827444751377624989696.000000
10,3,-7222251850171938323450316938035268823544482002607111900495872.000000
10,4,-1193734154281896806920740885247906925367270151465259027660800.000000
10,5,-944219848104760553445210097050723720019867511296400562323456.000000
10,6,-4214750560766137447345261986934275438823341146499595632640000.000000
10,7,-2912070793701090287120639744279182772048143689583291235565568.000000
11,3,-7223501086539011246112391569550587060926092969525625244090368.000000
11,4,-1194009620799557439832557103003833407998305489223322460749824.000000
11,5,-944492365955171885623802251695769742157309732863765009924096.000000
11,6,-4216211141993155461320615792627958194604574391280155601403904.000000
11,7,-1248231950587790306731300602658420481913897250617796537090048.000000
