E,Tau,Smoothness
6,1,-0.172636
6,2,-0.111314
6,3,-0.004164
6,4,-0.092689
6,5,-0.022942
6,6,-0.100604
6,7,-0.041536
6,8,-0.051514
6,9,0.000030
6,10,-0.058112
6,11,0.015705
6,12,-0.065051
7,1,0.045559
7,2,0.149371
7,3,0.158928
7,4,0.166956
7,5,0.203597
7,6,0.166774
7,7,0.148626
7,8,0.187803
7,9,0.201043
7,10,0.182901
7,11,0.232996
7,12,0.198479
8,1,0.234385
8,2,0.317870
8,3,0.340367
8,4,0.288532
8,5,0.311959
8,6,0.305974
8,7,0.333323
8,8,0.334946
8,9,0.327621
8,10,0.325932
8,11,0.369386
8,12,0.362387
9,1,0.329681
9,2,0.413529
9,3,0.402349
9,4,0.415704
9,5,0.394003
9,6,0.385130
9,7,0.447901
9,8,0.408477
9,9,0.423105
9,10,0.436008
9,11,0.429538
9,12,0.438362
10,1,0.391241
10,2,0.476047
10,3,0.463650
10,4,0.485094
10,5,0.469455
10,6,0.482450
