E,Tau,Smoothness
2,1,-19.426897
2,2,-16.975036
2,3,-19.275176
2,4,-16.766002
2,5,-16.077963
2,6,-17.009301
2,7,-15.548078
2,8,-14.658944
2,9,-15.328733
2,10,-18.445657
2,11,-21.447318
2,12,-22.277388
2,13,-21.741466
2,14,-20.085625
2,15,-20.376466
2,16,-16.387234
2,17,-14.596213
2,18,-14.847359
2,19,-14.882519
2,20,-14.030057
2,21,-14.282559
2,22,-14.675274
2,23,-15.603094
2,24,-24.122657
3,1,-5.044606
3,2,-4.167220
3,3,-3.596326
3,4,-2.746441
3,5,-2.885344
3,6,-3.206392
3,7,-2.900820
3,8,-2.472279
3,9,-2.530902
3,10,-2.366680
3,11,-2.481793
3,12,-4.112239
3,13,-3.319931
3,14,-3.286629
3,15,-2.855645
3,16,-2.357389
3,17,-2.584789
3,18,-3.090183
3,19,-2.650008
3,20,-2.406346
3,21,-2.397552
3,22,-2.292846
3,23,-2.698041
3,24,-5.644189
4,1,-1.905776
4,2,-1.368028
4,3,-0.953941
4,4,-0.730045
4,5,-0.838234
4,6,-0.780620
4,7,-0.594802
4,8,-0.554775
4,9,-0.589102
4,10,-0.526533
4,11,-0.626813
4,12,-1.653402
4,13,-0.924527
4,14,-0.752482
4,15,-0.618348
4,16,-0.465649
4,17,-0.539960
4,18,-0.659768
4,19,-0.567192
4,20,-0.708648
4,21,-0.645206
4,22,-0.510523
4,23,-0.549167
4,24,-1.784697
5,1,-0.935602
5,2,-0.400304
5,3,-0.141372
5,4,-0.111566
5,5,-0.024917
5,6,-0.053516
5,7,-0.011384
5,8,-0.074390
5,9,-0.048899
5,10,0.006915
5,11,0.040841
5,12,-0.523288
5,13,-0.180845
5,14,-0.029645
5,15,-0.018652
5,16,0.001663
5,17,0.050365
5,18,0.033135
5,19,0.025258
5,20,0.012644
5,21,-0.019353
5,22,-0.017822
5,23,0.024395
5,24,-0.628051
6,1,-0.403313
6,2,0.043243
6,3,0.106077
6,4,0.237906
6,5,0.247853
6,6,0.170354
6,7,0.241826
6,8,0.149556
6,9,0.250732
6,10,0.280205
6,11,0.267470
6,12,-0.137253
6,13,0.174544
6,14,0.300834
6,15,0.264619
6,16,0.254333
6,17,0.257153
6,18,0.265149
6,19,0.344775
6,20,0.294257
6,21,0.244035
6,22,0.266030
6,23,0.273289
6,24,-0.142489
7,1,-0.067471
7,2,0.235991
7,3,0.294560
7,4,0.390581
7,5,0.376049
7,6,0.345053
7,7,0.392771
7,8,0.358140
7,9,0.402891
