E,Tau,Smoothness
2,1,-12.633416
2,2,-11.572297
2,3,-11.428363
2,4,-12.501575
2,5,-12.958051
2,6,-12.775358
2,7,-13.186668
2,8,-13.156518
2,9,-12.842222
2,10,-13.263159
2,11,-13.150058
2,12,-13.735197
2,13,-13.659702
2,14,-13.367976
2,15,-13.056780
2,16,-13.759624
2,17,-13.306054
2,18,-13.348091
2,19,-13.644289
2,20,-12.875841
2,21,-12.424890
2,22,-11.188821
2,23,-11.339921
2,24,-14.081190
3,1,-5.575899
3,2,-4.532849
3,3,-3.860754
3,4,-3.753986
3,5,-4.362199
3,6,-3.746209
3,7,-4.615727
3,8,-4.376402
3,9,-4.340474
3,10,-4.216634
3,11,-3.787655
3,12,-4.969472
3,13,-4.041157
3,14,-4.169022
3,15,-4.318285
3,16,-4.689562
3,17,-4.445812
3,18,-4.464565
3,19,-4.361288
3,20,-4.530175
3,21,-4.389847
3,22,-3.625720
3,23,-4.226132
3,24,-5.789851
4,1,-2.093445
4,2,-1.467489
4,3,-1.173224
4,4,-1.305637
4,5,-1.336605
4,6,-1.194701
4,7,-1.303818
4,8,-1.668301
4,9,-1.147538
4,10,-1.236269
4,11,-1.189885
4,12,-1.938309
4,13,-1.345241
4,14,-1.358836
4,15,-1.338731
4,16,-1.539547
4,17,-1.250920
4,18,-1.390938
4,19,-1.389814
4,20,-1.456572
4,21,-1.246700
4,22,-1.196016
4,23,-1.372970
4,24,-2.230942
5,1,-0.938307
5,2,-0.507301
5,3,-0.328247
5,4,-0.435505
5,5,-0.336836
5,6,-0.437220
5,7,-0.305150
5,8,-0.769631
5,9,-0.295731
5,10,-0.349105
5,11,-0.322994
5,12,-0.728076
5,13,-0.476181
5,14,-0.394541
5,15,-0.351522
5,16,-0.588909
5,17,-0.380886
5,18,-0.352946
5,19,-0.475628
5,20,-0.458274
5,21,-0.320807
5,22,-0.311916
5,23,-0.403660
5,24,-0.842022
6,1,-0.360656
6,2,-0.029735
6,3,0.023244
6,4,-0.064755
6,5,0.041282
6,6,-0.019704
6,7,0.079283
6,8,-0.256339
6,9,0.080103
6,10,0.045930
6,11,0.046314
6,12,-0.259211
6,13,-0.086498
6,14,0.042756
6,15,0.050723
6,16,-0.148368
6,17,0.007206
6,18,0.031192
6,19,0.050603
6,20,-0.000534
6,21,0.124006
6,22,0.084351
6,23,0.006833
6,24,-0.275286
7,1,-0.033268
7,2,0.210630
7,3,0.213523
7,4,0.172501
7,5,0.236973
7,6,0.186876
7,7,0.242043
7,8,0.022596
7,9,0.286476
7,10,0.245960
7,11,0.251938
7,12,0.056278
7,13,0.149322
7,14,0.228395
7,15,0.258731
7,16,0.164386
7,17,0.245035
7,18,0.246757
7,19,0.284919
7,20,0.231541
7,21,0.305848
7,22,0.303733
7,23,0.229970
7,24,-0.020981
8,1,0.187016
8,2,0.348764
8,3,0.365362
8,4,0.280061
8,5,0.377444
8,6,0.334500
8,7,0.388151
8,8,0.175491
8,9,0.395881
8,10,0.360709
8,11,0.397070
8,12,0.226279
8,13,0.325966
8,14,0.383449
8,15,0.412932
