E,Tau,Smoothness
2,1,-7.152598
2,2,-6.739827
2,3,-6.839614
2,4,-6.639095
2,5,-6.721433
2,6,-6.847294
2,7,-6.695266
2,8,-6.901570
2,9,-7.138130
2,10,-6.974873
2,11,-7.193910
2,12,-7.103154
2,13,-7.044955
2,14,-7.028745
2,15,-7.226774
2,16,-7.167256
2,17,-6.810231
2,18,-6.590164
2,19,-6.328373
2,20,-6.307894
2,21,-6.108187
2,22,-5.926347
2,23,-5.992749
2,24,-7.069867
3,1,-4.616122
3,2,-3.932657
3,3,-4.057857
3,4,-3.807967
3,5,-3.847038
3,6,-3.976338
3,7,-3.900786
3,8,-4.126323
3,9,-4.029401
3,10,-3.539724
3,11,-3.471050
3,12,-4.085444
3,13,-4.114870
3,14,-3.813951
3,15,-3.891335
3,16,-4.296037
3,17,-4.121590
3,18,-3.886304
3,19,-3.712656
3,20,-3.427483
3,21,-3.527996
3,22,-3.211681
3,23,-3.248950
3,24,-4.562702
4,1,-2.041156
4,2,-1.869533
4,3,-1.815795
4,4,-1.590393
4,5,-1.612081
4,6,-1.609783
4,7,-1.418028
4,8,-1.723511
4,9,-1.529252
4,10,-1.419737
4,11,-1.373728
4,12,-1.984513
4,13,-1.866731
4,14,-1.502280
4,15,-1.425713
4,16,-1.693325
4,17,-1.504901
4,18,-1.624699
4,19,-1.415430
4,20,-1.403399
4,21,-1.383517
4,22,-1.462563
4,23,-1.223002
4,24,-2.149087
5,1,-1.000938
5,2,-0.881845
5,3,-0.743532
5,4,-0.654684
5,5,-0.528540
5,6,-0.570827
5,7,-0.494498
5,8,-0.758613
5,9,-0.632073
5,10,-0.498116
5,11,-0.480143
5,12,-0.827412
5,13,-0.689083
5,14,-0.571837
5,15,-0.560081
5,16,-0.762076
5,17,-0.527155
5,18,-0.545353
5,19,-0.540591
5,20,-0.520185
5,21,-0.571870
5,22,-0.561115
5,23,-0.446922
5,24,-1.058155
6,1,-0.430913
6,2,-0.326652
6,3,-0.309800
6,4,-0.194842
6,5,-0.143016
6,6,-0.202172
6,7,-0.101127
6,8,-0.280482
6,9,-0.142816
6,10,-0.105107
6,11,-0.103433
6,12,-0.350341
6,13,-0.179229
6,14,-0.087075
6,15,-0.133902
6,16,-0.259141
6,17,-0.140980
6,18,-0.144086
6,19,-0.059922
6,20,-0.076122
6,21,-0.080533
6,22,-0.086694
6,23,-0.053704
6,24,-0.445071
7,1,-0.152836
7,2,-0.041790
7,3,-0.000452
7,4,0.089383
7,5,0.082746
7,6,0.061126
7,7,0.122252
7,8,0.004316
7,9,0.097455
7,10,0.108754
7,11,0.126825
7,12,-0.049566
7,13,0.083467
7,14,0.153004
7,15,0.120634
7,16,0.054656
7,17,0.107122
7,18,0.087049
7,19,0.170724
7,20,0.185858
7,21,0.134377
7,22,0.167022
7,23,0.145737
7,24,-0.143423
8,1,0.044897
8,2,0.166732
8,3,0.203868
8,4,0.246264
8,5,0.233776
8,6,0.226641
8,7,0.285901
8,8,0.162796
8,9,0.265403
8,10,0.290645
8,11,0.248253
8,12,0.149863
8,13,0.235594
8,14,0.289915
8,15,0.259762
8,16,0.205926
8,17,0.293305
8,18,0.237818
8,19,0.290811
8,20,0.317652
8,21,0.286318
8,22,0.303193
8,23,0.296919
8,24,0.058542
9,1,0.202861
9,2,0.272802
9,3,0.329285
9,4,0.343963
9,5,0.342068
9,6,0.353938
9,7,0.382419
9,8,0.303748
9,9,0.361448
9,10,0.388664
9,11,0.355990
9,12,0.293752
9,13,0.352172
9,14,0.375617
9,15,0.378642
9,16,0.322599
9,17,0.388263
9,18,0.377203
9,19,0.382971
9,20,0.406096
