E,Tau,Smoothness
2,1,-17.828503
2,2,-16.701840
2,3,-16.166948
2,4,-16.258542
2,5,-15.115327
2,6,-16.163431
2,7,-17.114584
2,8,-18.648937
2,9,-19.031696
2,10,-19.895734
2,11,-20.016616
2,12,-19.663489
2,13,-20.219107
2,14,-19.104163
2,15,-18.693919
2,16,-18.870924
2,17,-18.579941
2,18,-17.037912
2,19,-16.124346
2,20,-16.297843
2,21,-15.659502
2,22,-15.444946
2,23,-16.406144
2,24,-22.056419
3,1,-4.998073
3,2,-3.877813
3,3,-3.352611
3,4,-3.016067
3,5,-2.885366
3,6,-2.946622
3,7,-3.429756
3,8,-3.627591
3,9,-3.479428
3,10,-3.013238
3,11,-2.697875
3,12,-4.508595
3,13,-3.029127
3,14,-3.028988
3,15,-3.038211
3,16,-3.561132
3,17,-3.709399
3,18,-3.105299
3,19,-3.092074
3,20,-2.811736
3,21,-3.200243
3,22,-3.021553
3,23,-3.288219
3,24,-5.638642
4,1,-1.831359
4,2,-1.277516
4,3,-0.916615
4,4,-0.704203
4,5,-0.662402
4,6,-0.826185
4,7,-0.734535
4,8,-0.998906
4,9,-0.743281
4,10,-0.646541
4,11,-0.617286
4,12,-1.795994
4,13,-0.836536
4,14,-0.762084
4,15,-0.789180
4,16,-0.966728
4,17,-0.876941
4,18,-0.855433
4,19,-0.778523
4,20,-0.717782
4,21,-0.896822
4,22,-0.893595
4,23,-0.900949
4,24,-1.774748
5,1,-0.791222
5,2,-0.360647
5,3,-0.129559
5,4,-0.044242
5,5,-0.040166
5,6,-0.148785
5,7,-0.074679
5,8,-0.279228
5,9,-0.128029
5,10,-0.052830
5,11,-0.020510
5,12,-0.579217
5,13,-0.093649
5,14,-0.056374
5,15,-0.072046
5,16,-0.241622
5,17,-0.131432
5,18,-0.161344
5,19,-0.092365
5,20,-0.062626
5,21,-0.078105
5,22,-0.108977
5,23,-0.161226
5,24,-0.639638
6,1,-0.291843
6,2,0.030857
6,3,0.161225
6,4,0.230633
6,5,0.210489
6,6,0.119518
6,7,0.228201
6,8,0.012970
6,9,0.206448
6,10,0.243339
6,11,0.242984
6,12,-0.189627
6,13,0.160541
6,14,0.253673
6,15,0.231643
6,16,0.102851
6,17,0.172302
6,18,0.163509
6,19,0.268635
6,20,0.237131
6,21,0.256097
6,22,0.218932
6,23,0.199098
6,24,-0.129642
7,1,-0.006399
7,2,0.272474
7,3,0.325500
7,4,0.387208
7,5,0.355131
7,6,0.281667
7,7,0.381765
7,8,0.251973
7,9,0.352634
7,10,0.385297
7,11,0.401401
7,12,0.077664
7,13,0.331261
7,14,0.411623
7,15,0.388904
7,16,0.345874
7,17,0.382547
7,18,0.348420
7,19,0.403431
7,20,0.407573
7,21,0.418254
7,22,0.400388
7,23,0.375152
7,24,0.107704
8,1,0.197819
8,2,0.401461
8,3,0.445620
8,4,0.485042
8,5,0.440921
8,6,0.411891
8,7,0.495117
8,8,0.388218
8,9,0.458504
8,10,0.491457
8,11,0.508854
8,12,0.242878
8,13,0.454562
8,14,0.521360
8,15,0.503163
8,16,0.463741
8,17,0.487302
8,18,0.477655
8,19,0.493169
8,20,0.518256
8,21,0.510855
8,22,0.513399
8,23,0.503162
8,24,0.276544
9,1,0.297843
9,2,0.478871
9,3,0.519891
9,4,0.550200
9,5,0.511192
9,6,0.494842
9,7,0.562044
9,8,0.468633
9,9,0.540919
9,10,0.558273
9,11,0.562055
9,12,0.389371
9,13,0.541852
9,14,0.596401
9,15,0.576332
9,16,0.533625
9,17,0.550843
9,18,0.553377
9,19,0.565126
9,20,0.578894
9,21,0.581852
9,22,0.587367
9,23,0.579194
9,24,0.363898
10,1,0.402052
10,2,0.546265
10,3,0.579285
10,4,0.586465
10,5,0.566738
10,6,0.554442
10,7,0.608606
10,8,0.536104
10,9,0.600949
10,10,0.611678
10,11,0.617733
10,12,0.461479
10,13,0.610247
10,14,0.646402
10,15,0.622020
10,16,0.592196
10,17,0.607729
10,18,0.603117
10,19,0.614370
10,20,0.623810
10,21,0.614862
10,22,0.627648
10,23,0.618361
10,24,0.432755
