E,Tau,Smoothness
2,1,-6.775884
2,2,-6.103565
2,3,-6.232417
2,4,-6.605843
2,5,-6.581614
2,6,-6.406995
2,7,-6.479177
2,8,-6.724000
2,9,-6.415576
2,10,-6.643992
2,11,-6.677939
2,12,-6.533895
2,13,-6.774684
2,14,-6.573564
2,15,-6.516231
2,16,-6.539777
2,17,-6.797392
2,18,-6.624667
2,19,-6.489586
2,20,-6.437820
2,21,-6.528358
2,22,-6.254117
2,23,-5.833454
2,24,-6.540032
3,1,-4.698245
3,2,-4.217099
3,3,-4.247650
3,4,-4.424796
3,5,-4.548414
3,6,-4.700726
3,7,-4.514073
3,8,-4.477231
3,9,-4.412092
3,10,-4.588366
3,11,-3.940700
3,12,-4.647380
3,13,-4.340119
3,14,-4.500161
3,15,-4.418795
3,16,-4.384814
3,17,-4.471203
3,18,-4.461057
3,19,-4.693621
3,20,-4.687052
3,21,-4.324793
3,22,-4.198497
3,23,-3.920370
3,24,-4.618705
4,1,-2.294839
4,2,-2.056805
4,3,-1.824170
4,4,-1.847933
4,5,-1.921371
4,6,-2.032650
4,7,-1.829516
4,8,-1.988109
4,9,-1.738244
4,10,-1.972545
4,11,-1.734874
4,12,-2.175797
4,13,-1.921096
4,14,-2.055381
4,15,-1.775055
4,16,-1.989879
4,17,-1.775283
4,18,-1.950671
4,19,-2.039743
4,20,-1.954454
4,21,-1.896080
4,22,-1.823134
4,23,-1.785330
4,24,-2.303095
5,1,-1.053591
5,2,-0.857414
5,3,-0.741421
5,4,-0.770972
5,5,-0.833523
5,6,-0.852456
5,7,-0.712461
5,8,-0.873063
5,9,-0.625884
5,10,-0.802846
5,11,-0.658499
5,12,-0.954009
5,13,-0.775263
5,14,-0.854840
5,15,-0.730520
5,16,-0.825120
5,17,-0.671286
5,18,-0.783032
5,19,-0.802309
5,20,-0.788829
5,21,-0.732982
5,22,-0.678715
5,23,-0.714985
5,24,-1.043944
6,1,-0.486349
6,2,-0.368394
6,3,-0.233757
6,4,-0.252231
6,5,-0.279072
6,6,-0.330775
6,7,-0.219058
6,8,-0.342124
6,9,-0.145748
6,10,-0.235525
6,11,-0.185179
6,12,-0.363104
6,13,-0.220512
6,14,-0.268903
6,15,-0.190294
6,16,-0.312008
6,17,-0.172816
6,18,-0.227930
6,19,-0.244293
6,20,-0.277523
6,21,-0.201513
6,22,-0.158713
6,23,-0.143176
6,24,-0.391826
7,1,-0.166114
7,2,-0.019295
7,3,0.053254
7,4,0.023646
7,5,-0.001918
7,6,-0.054633
7,7,0.070370
7,8,-0.039878
7,9,0.085982
7,10,0.051245
7,11,0.065539
7,12,-0.082614
7,13,0.028077
7,14,0.027701
7,15,0.048021
7,16,-0.001085
7,17,0.107499
7,18,0.034932
7,19,0.044775
7,20,0.016510
7,21,0.091743
7,22,0.126271
7,23,0.121549
7,24,-0.058870
8,1,0.047645
8,2,0.174617
8,3,0.248587
8,4,0.203444
8,5,0.201455
8,6,0.139142
8,7,0.214731
8,8,0.142528
8,9,0.251467
8,10,0.244260
8,11,0.245575
8,12,0.140956
8,13,0.201803
8,14,0.234002
8,15,0.258479
8,16,0.188147
8,17,0.290105
8,18,0.218229
8,19,0.229920
8,20,0.189024
8,21,0.278401
8,22,0.287951
8,23,0.285191
8,24,0.137978
9,1,0.227574
9,2,0.298715
9,3,0.356166
9,4,0.311499
9,5,0.301297
9,6,0.280378
9,7,0.325473
9,8,0.272418
9,9,0.365943
9,10,0.368502
9,11,0.369731
9,12,0.251654
9,13,0.326264
9,14,0.358362
9,15,0.364949
9,16,0.318424
9,17,0.401298
