E,Tau,Smoothness
2,1,-1.769962
2,2,-1.747381
2,3,-1.659929
2,4,-1.789257
2,5,-2.109195
2,6,-1.789881
2,7,-2.193559
2,8,-1.920685
2,9,-1.841832
2,10,-1.887895
2,11,-2.086948
2,12,-2.242116
2,13,-2.131087
2,14,-2.054947
2,15,-1.948287
2,16,-1.909692
2,17,-1.844514
2,18,-1.902339
2,19,-1.441994
2,20,-1.443658
2,21,-1.338832
2,22,-1.298178
2,23,-1.375156
2,24,-1.626946
3,1,-1.059645
3,2,-1.178603
3,3,-1.190850
3,4,-1.457058
3,5,-1.441526
3,6,-1.590296
3,7,-1.576608
3,8,-1.656770
3,9,-1.508442
3,10,-1.537843
3,11,-1.317936
3,12,-1.507787
3,13,-1.548793
3,14,-1.424594
3,15,-1.613569
3,16,-1.840128
3,17,-1.831500
3,18,-1.821629
3,19,-1.502707
3,20,-1.558837
3,21,-1.201465
3,22,-1.035637
3,23,-0.765668
3,24,-1.144737
4,1,-0.741380
4,2,-0.855354
4,3,-1.068498
4,4,-1.285086
4,5,-1.176511
4,6,-1.220422
4,7,-0.965576
4,8,-1.048606
4,9,-1.008261
4,10,-1.139390
4,11,-1.073660
4,12,-1.512358
4,13,-1.363195
4,14,-1.175887
4,15,-1.221477
4,16,-1.260385
4,17,-1.319993
4,18,-1.261433
4,19,-1.296138
4,20,-1.380571
4,21,-0.980954
4,22,-0.675676
4,23,-0.443653
4,24,-0.600719
5,1,-0.408151
5,2,-0.695745
5,3,-0.883171
5,4,-0.960566
5,5,-0.734981
5,6,-0.651126
5,7,-0.565824
5,8,-0.818956
5,9,-0.857971
5,10,-0.860951
5,11,-0.628937
5,12,-0.845653
5,13,-0.869316
5,14,-1.020340
5,15,-0.946481
5,16,-0.964547
5,17,-0.809923
5,18,-0.741057
5,19,-0.941222
5,20,-1.057628
5,21,-0.737827
5,22,-0.509794
5,23,-0.188017
5,24,-0.287420
6,1,-0.279232
6,2,-0.559206
6,3,-0.625112
6,4,-0.446623
6,5,-0.282332
6,6,-0.398728
6,7,-0.393256
6,8,-0.594966
6,9,-0.376930
6,10,-0.395702
6,11,-0.415549
6,12,-0.702279
6,13,-0.545026
6,14,-0.366119
6,15,-0.385625
6,16,-0.616269
6,17,-0.598089
6,18,-0.415736
6,19,-0.348615
6,20,-0.571588
6,21,-0.646353
6,22,-0.316728
6,23,0.067902
6,24,0.020550
7,1,-0.191647
7,2,-0.405004
7,3,-0.347456
7,4,-0.031856
7,5,-0.084203
7,6,-0.273749
7,7,-0.106012
7,8,-0.227616
7,9,-0.113847
7,10,-0.237380
7,11,-0.106418
7,12,-0.262809
7,13,-0.314504
7,14,-0.217639
7,15,-0.098515
7,16,-0.166548
7,17,-0.259548
7,18,-0.236856
7,19,-0.052557
7,20,-0.168207
7,21,-0.308933
7,22,-0.152442
7,23,0.167673
7,24,0.171147
8,1,-0.119388
8,2,-0.256114
8,3,0.069982
8,4,0.135383
8,5,0.010663
8,6,-0.039037
8,7,0.149049
8,8,-0.087600
8,9,0.057290
8,10,0.095320
8,11,0.083414
8,12,-0.115453
8,13,-0.002204
8,14,0.057743
8,15,0.006228
8,16,0.030985
8,17,0.125464
8,18,-0.016490
8,19,0.119063
8,20,0.206108
8,21,0.065586
8,22,-0.000269
8,23,0.289846
8,24,0.309817
9,1,-0.007341
9,2,-0.067478
9,3,0.278555
9,4,0.221342
9,5,0.149559
9,6,0.220307
9,7,0.233986
9,8,0.065808
9,9,0.279923
9,10,0.176743
9,11,0.215395
9,12,0.160847
9,13,0.101028
9,14,0.190297
9,15,0.230378
9,16,0.149271
9,17,0.232971
9,18,0.289880
9,19,0.243567
9,20,0.308881
9,21,0.308851
9,22,0.169174
9,23,0.362294
9,24,0.353603
10,1,0.076777
10,2,0.101999
10,3,0.375473
10,4,0.284868
10,5,0.318010
10,6,0.296059
10,7,0.308107
10,8,0.263663
10,9,0.336468
10,10,0.313312
10,11,0.344624
10,12,0.246359
10,13,0.303573
10,14,0.326673
10,15,0.337385
10,16,0.362296
10,17,0.308535
10,18,0.433065
10,19,0.391571
10,20,0.369532
10,21,0.439402
10,22,0.289575
10,23,0.396099
10,24,0.411109
