E,Tau,Smoothness
2,1,-19.065805
2,2,-16.651825
2,3,-16.374186
2,4,-16.916969
2,5,-15.990148
2,6,-16.022356
2,7,-15.949626
2,8,-16.665292
2,9,-16.475176
2,10,-17.604373
2,11,-18.205050
2,12,-19.223226
2,13,-18.540338
2,14,-18.855154
2,15,-19.206445
2,16,-17.907419
2,17,-15.282732
2,18,-15.005372
2,19,-14.845599
2,20,-13.912864
2,21,-14.785687
2,22,-14.432647
2,23,-15.241568
2,24,-21.768927
3,1,-5.112450
3,2,-4.494641
3,3,-4.310837
3,4,-4.005309
3,5,-3.644454
3,6,-3.785277
3,7,-4.102264
3,8,-4.108116
3,9,-3.629461
3,10,-3.460642
3,11,-3.501742
3,12,-4.940919
3,13,-4.210210
3,14,-3.718916
3,15,-4.230649
3,16,-3.801918
3,17,-3.615760
3,18,-3.667270
3,19,-3.254777
3,20,-3.252699
3,21,-3.440183
3,22,-3.291018
3,23,-3.391333
3,24,-6.301531
4,1,-1.964235
4,2,-1.629165
4,3,-1.317285
4,4,-1.147725
4,5,-1.321268
4,6,-1.192992
4,7,-1.037959
4,8,-1.399686
4,9,-1.059134
4,10,-1.020309
4,11,-0.990668
4,12,-2.042140
4,13,-1.232614
4,14,-1.153404
4,15,-1.205939
4,16,-1.158123
4,17,-0.988820
4,18,-1.190478
4,19,-0.996411
4,20,-0.870130
4,21,-1.133131
4,22,-1.080242
4,23,-0.985780
4,24,-2.369251
5,1,-0.941234
5,2,-0.550942
5,3,-0.341559
5,4,-0.374794
5,5,-0.338045
5,6,-0.331032
5,7,-0.280125
5,8,-0.514543
5,9,-0.270845
5,10,-0.353883
5,11,-0.268769
5,12,-0.820919
5,13,-0.350213
5,14,-0.345086
5,15,-0.283256
5,16,-0.440905
5,17,-0.225395
5,18,-0.323607
5,19,-0.263894
5,20,-0.241855
5,21,-0.300871
5,22,-0.278699
5,23,-0.237844
5,24,-0.977324
6,1,-0.379915
6,2,-0.077069
6,3,0.036641
6,4,0.001941
6,5,0.074560
6,6,-0.028787
6,7,0.087331
6,8,-0.093437
6,9,0.091122
6,10,0.074440
6,11,0.077025
6,12,-0.357706
6,13,-0.006726
6,14,0.068274
6,15,0.070397
6,16,-0.021035
6,17,0.107496
6,18,0.015447
6,19,0.076176
6,20,0.092040
6,21,0.047474
6,22,0.074392
6,23,0.101621
6,24,-0.390528
7,1,-0.111462
7,2,0.177505
7,3,0.245838
7,4,0.236424
7,5,0.237434
7,6,0.171509
7,7,0.242683
7,8,0.167539
7,9,0.272147
7,10,0.269265
7,11,0.231743
7,12,-0.029261
7,13,0.190844
7,14,0.267173
7,15,0.251215
7,16,0.223073
7,17,0.261697
7,18,0.194814
7,19,0.250452
7,20,0.282519
7,21,0.249568
7,22,0.285922
7,23,0.297432
7,24,-0.067536
8,1,0.128913
8,2,0.313600
8,3,0.387241
8,4,0.347602
8,5,0.383957
8,6,0.313507
8,7,0.375319
8,8,0.297417
8,9,0.382236
8,10,0.413537
