E,Tau,Smoothness
2,1,-20.349572
2,2,-18.381395
2,3,-16.734376
2,4,-16.514063
2,5,-16.577296
2,6,-16.310801
2,7,-17.271362
2,8,-18.468090
2,9,-19.818065
2,10,-19.377205
2,11,-19.237175
2,12,-20.026590
2,13,-20.232828
2,14,-20.117372
2,15,-21.275155
2,16,-19.810202
2,17,-18.151182
2,18,-16.285100
2,19,-16.461513
2,20,-16.866418
2,21,-15.797003
2,22,-16.901043
2,23,-17.436850
2,24,-26.216341
3,1,-5.098790
3,2,-4.054121
3,3,-3.447361
3,4,-3.258463
3,5,-2.851301
3,6,-3.201372
3,7,-2.958357
3,8,-3.818165
3,9,-3.290792
3,10,-3.114249
3,11,-3.131782
3,12,-5.196528
3,13,-3.242724
3,14,-3.113906
3,15,-3.560770
3,16,-3.751720
3,17,-3.351481
3,18,-3.277960
3,19,-2.987117
3,20,-2.894430
3,21,-2.866394
3,22,-3.084037
3,23,-3.586716
3,24,-6.241717
4,1,-1.780042
4,2,-1.386151
4,3,-0.994934
4,4,-0.767576
4,5,-0.926319
4,6,-0.993078
4,7,-0.748873
4,8,-1.179108
4,9,-0.802187
4,10,-0.803002
4,11,-0.770714
4,12,-1.991878
4,13,-0.871540
4,14,-0.933658
4,15,-0.941641
4,16,-1.125730
4,17,-0.880981
4,18,-1.029416
4,19,-0.791043
4,20,-0.732427
4,21,-0.778926
4,22,-0.867280
4,23,-1.018085
4,24,-2.209770
5,1,-0.751518
5,2,-0.430248
5,3,-0.159685
5,4,-0.181886
5,5,-0.137551
5,6,-0.263921
5,7,-0.115051
5,8,-0.428361
5,9,-0.156773
5,10,-0.178341
5,11,-0.117792
5,12,-0.781396
5,13,-0.216417
5,14,-0.194578
5,15,-0.120589
5,16,-0.308054
5,17,-0.113707
5,18,-0.195427
5,19,-0.179670
5,20,-0.095714
5,21,-0.097516
5,22,-0.185943
5,23,-0.204164
5,24,-0.815848
6,1,-0.299389
6,2,0.016210
6,3,0.136799
6,4,0.147226
6,5,0.168691
6,6,0.029039
6,7,0.206915
6,8,-0.029484
6,9,0.164171
6,10,0.152544
6,11,0.200952
6,12,-0.247612
6,13,0.125691
6,14,0.144776
6,15,0.181722
6,16,0.049466
6,17,0.177821
6,18,0.122454
6,19,0.179952
6,20,0.174620
6,21,0.192582
6,22,0.183971
6,23,0.120952
6,24,-0.220317
7,1,-0.004291
7,2,0.257266
7,3,0.287854
7,4,0.332743
7,5,0.308266
7,6,0.214535
7,7,0.332165
7,8,0.206175
7,9,0.321695
7,10,0.342755
7,11,0.338356
7,12,0.056050
7,13,0.300734
7,14,0.307885
7,15,0.334801
7,16,0.275869
7,17,0.338163
7,18,0.305348
7,19,0.342737
7,20,0.369762
7,21,0.366502
7,22,0.383456
7,23,0.314676
7,24,0.050125
8,1,0.181427
8,2,0.372950
8,3,0.411964
