E,Tau,Smoothness
2,1,-19.608107
2,2,-16.739750
2,3,-15.044453
2,4,-15.724285
2,5,-15.756873
2,6,-15.532731
2,7,-17.007426
2,8,-17.330215
2,9,-18.255683
2,10,-19.290829
2,11,-17.890330
2,12,-17.931128
2,13,-17.636444
2,14,-19.907628
2,15,-20.840368
2,16,-18.933247
2,17,-17.884031
2,18,-15.861420
2,19,-16.109831
2,20,-15.308557
2,21,-15.148698
2,22,-14.877557
2,23,-15.911348
2,24,-22.735513
3,1,-4.913452
3,2,-3.812235
3,3,-3.422013
3,4,-2.894751
3,5,-2.802850
3,6,-2.736239
3,7,-3.418714
3,8,-3.411162
3,9,-3.211445
3,10,-3.163049
3,11,-3.053683
3,12,-4.162714
3,13,-3.159970
3,14,-3.246487
3,15,-3.450068
3,16,-3.522454
3,17,-3.534220
3,18,-3.146689
3,19,-3.106866
3,20,-2.921522
3,21,-2.953626
3,22,-3.211047
3,23,-3.185977
3,24,-5.806983
4,1,-1.842763
4,2,-1.227709
4,3,-0.901953
4,4,-0.747314
4,5,-0.819742
4,6,-0.819274
4,7,-0.776317
4,8,-1.165021
4,9,-0.763176
4,10,-0.638796
4,11,-0.712784
4,12,-1.486390
4,13,-0.860586
4,14,-0.925336
4,15,-0.894876
4,16,-1.071230
4,17,-0.930403
4,18,-0.843295
4,19,-0.891004
4,20,-0.837646
4,21,-0.814507
4,22,-0.804504
4,23,-0.899733
4,24,-1.938007
5,1,-0.785286
5,2,-0.332095
5,3,-0.125700
5,4,-0.153756
5,5,-0.114707
5,6,-0.182792
5,7,-0.162932
5,8,-0.343981
5,9,-0.109289
5,10,-0.097934
5,11,-0.040119
5,12,-0.496933
5,13,-0.153392
5,14,-0.124518
5,15,-0.127423
5,16,-0.237276
5,17,-0.141433
5,18,-0.123581
5,19,-0.109015
5,20,-0.057683
5,21,-0.060797
5,22,-0.112172
5,23,-0.119649
5,24,-0.706540
6,1,-0.305510
6,2,0.055126
6,3,0.138332
6,4,0.186389
6,5,0.206334
6,6,0.096441
6,7,0.168280
6,8,0.030626
6,9,0.227855
6,10,0.199004
6,11,0.256792
6,12,-0.057989
6,13,0.161970
6,14,0.201392
6,15,0.169896
6,16,0.096730
6,17,0.167290
6,18,0.173617
6,19,0.237708
6,20,0.250014
6,21,0.231110
6,22,0.195778
6,23,0.181634
6,24,-0.155027
7,1,0.024353
7,2,0.258438
7,3,0.311039
7,4,0.349411
7,5,0.357652
7,6,0.259434
7,7,0.342669
7,8,0.250929
7,9,0.369483
7,10,0.344310
7,11,0.405620
