E,Tau,Smoothness
2,1,-12.584318
2,2,-11.382080
2,3,-11.167251
2,4,-12.044828
2,5,-11.812115
2,6,-12.904147
2,7,-12.717731
2,8,-12.943107
2,9,-12.778730
2,10,-12.470481
2,11,-12.751985
2,12,-12.669035
2,13,-12.471228
2,14,-12.643783
2,15,-12.538167
2,16,-12.508335
2,17,-13.015946
2,18,-12.777538
2,19,-12.513185
2,20,-12.641924
2,21,-12.132660
2,22,-11.410125
2,23,-11.802763
2,24,-12.993470
3,1,-5.319856
3,2,-4.551201
3,3,-4.197158
3,4,-4.116263
3,5,-4.398957
3,6,-4.190429
3,7,-4.074017
3,8,-4.036866
3,9,-4.385956
3,10,-4.218350
3,11,-3.847729
3,12,-4.738830
3,13,-3.855319
3,14,-4.280799
3,15,-4.488517
3,16,-4.006273
3,17,-4.105302
3,18,-4.101862
3,19,-4.274917
3,20,-4.081540
3,21,-4.279600
3,22,-3.765055
3,23,-4.275642
3,24,-5.375471
4,1,-2.169555
4,2,-1.593743
4,3,-1.259473
4,4,-1.317878
4,5,-1.300540
4,6,-1.386852
4,7,-1.146293
4,8,-1.514285
4,9,-1.167816
4,10,-1.303032
4,11,-1.099485
4,12,-1.866725
4,13,-1.144124
4,14,-1.321872
4,15,-1.328936
4,16,-1.305516
4,17,-1.149254
4,18,-1.351177
4,19,-1.345557
4,20,-1.362451
4,21,-1.359457
4,22,-1.249190
4,23,-1.356470
4,24,-2.181276
5,1,-0.898407
5,2,-0.599419
5,3,-0.355779
5,4,-0.500112
5,5,-0.410348
5,6,-0.525771
5,7,-0.310557
5,8,-0.614726
5,9,-0.244680
5,10,-0.341593
5,11,-0.342215
5,12,-0.682081
5,13,-0.357669
5,14,-0.413071
5,15,-0.420623
5,16,-0.474103
5,17,-0.288594
5,18,-0.419463
5,19,-0.362856
5,20,-0.411104
5,21,-0.360167
5,22,-0.323681
5,23,-0.440633
5,24,-0.844122
6,1,-0.349392
6,2,-0.140905
6,3,0.008637
6,4,-0.042918
6,5,0.006316
6,6,-0.091403
6,7,0.026678
6,8,-0.162731
6,9,0.107375
6,10,0.065077
6,11,0.047694
6,12,-0.223390
6,13,-0.007852
6,14,0.009824
6,15,0.055188
6,16,-0.087635
6,17,0.075168
6,18,0.006770
6,19,0.067814
6,20,0.011587
6,21,0.048303
6,22,0.035889
6,23,0.022139
6,24,-0.276165
7,1,-0.040041
7,2,0.133124
7,3,0.207777
7,4,0.164064
7,5,0.203443
7,6,0.144341
7,7,0.240297
7,8,0.092413
7,9,0.264018
7,10,0.277390
7,11,0.265392
7,12,0.053395
7,13,0.213919
7,14,0.232337
7,15,0.277299
7,16,0.174947
7,17,0.277226
7,18,0.231648
7,19,0.290250
7,20,0.248944
7,21,0.276113
7,22,0.282240
7,23,0.261525
7,24,0.019385
8,1,0.176896
8,2,0.285187
8,3,0.364508
8,4,0.308198
8,5,0.328112
8,6,0.292163
8,7,0.377612
8,8,0.244713
8,9,0.390815
8,10,0.404602
