E,Tau,Smoothness
2,1,-23.168900
2,2,-19.449926
2,3,-17.708713
2,4,-16.531521
2,5,-16.469354
2,6,-16.656074
2,7,-17.691961
2,8,-18.326207
2,9,-19.853960
2,10,-22.159528
2,11,-21.820417
2,12,-20.836186
2,13,-20.985712
2,14,-20.628386
2,15,-22.266765
2,16,-19.546636
2,17,-17.319274
2,18,-18.058824
2,19,-17.481841
2,20,-16.507635
2,21,-16.154915
2,22,-17.017782
2,23,-16.672645
2,24,-25.539461
3,1,-5.013782
3,2,-3.262444
3,3,-3.269650
3,4,-2.814263
3,5,-2.613658
3,6,-2.601307
3,7,-2.805859
3,8,-3.101972
3,9,-3.196901
3,10,-2.543662
3,11,-2.683318
3,12,-4.012973
3,13,-3.026841
3,14,-2.716600
3,15,-2.942840
3,16,-2.777861
3,17,-3.400286
3,18,-2.871301
3,19,-2.680483
3,20,-2.372293
3,21,-2.620405
3,22,-2.675543
3,23,-2.858152
3,24,-5.133477
4,1,-1.684973
4,2,-1.056270
4,3,-0.879637
4,4,-0.608249
4,5,-0.663296
4,6,-0.707187
4,7,-0.627955
4,8,-0.789693
4,9,-0.657668
4,10,-0.582269
4,11,-0.539428
4,12,-1.433198
4,13,-0.687281
4,14,-0.578826
4,15,-0.688509
4,16,-0.690404
4,17,-0.754207
4,18,-0.757531
4,19,-0.625128
4,20,-0.572788
4,21,-0.714272
4,22,-0.670393
4,23,-0.698531
4,24,-1.652734
5,1,-0.657154
5,2,-0.255398
5,3,-0.159735
5,4,-0.024220
5,5,-0.031003
5,6,-0.107202
5,7,-0.019770
5,8,-0.172703
5,9,-0.031387
5,10,-0.037549
5,11,0.038589
5,12,-0.456788
5,13,-0.050357
5,14,-0.017750
5,15,-0.011074
5,16,-0.082364
5,17,-0.005730
5,18,-0.045891
5,19,0.014307
5,20,0.006885
5,21,-0.049337
5,22,-0.033936
5,23,-0.067531
5,24,-0.482169
6,1,-0.211507
6,2,0.120078
6,3,0.126244
6,4,0.251151
6,5,0.215249
6,6,0.172748
6,7,0.246243
6,8,0.145501
6,9,0.290010
6,10,0.256066
6,11,0.267119
6,12,-0.044341
6,13,0.215179
6,14,0.265508
6,15,0.238015
6,16,0.210143
6,17,0.232745
6,18,0.227844
6,19,0.285858
6,20,0.255446
6,21,0.230087
6,22,0.228688
6,23,0.227761
6,24,-0.016702
7,1,0.021686
7,2,0.304972
7,3,0.306752
7,4,0.384520
7,5,0.365955
7,6,0.307715
7,7,0.391726
7,8,0.332577
7,9,0.412127
