E,Tau,Smoothness
2,1,-4.413017
2,2,-4.249274
2,3,-3.875683
2,4,-4.206412
2,5,-4.447677
2,6,-4.667767
2,7,-4.603508
2,8,-4.408896
2,9,-4.528176
2,10,-4.580012
2,11,-4.522325
2,12,-4.414461
2,13,-4.339228
2,14,-4.457625
2,15,-4.412665
2,16,-4.400628
2,17,-4.438404
2,18,-4.455789
2,19,-4.674231
2,20,-4.693689
2,21,-4.362448
2,22,-4.072883
2,23,-4.052560
2,24,-4.609458
3,1,-3.625853
3,2,-3.408347
3,3,-3.519206
3,4,-3.652372
3,5,-3.655676
3,6,-3.747957
3,7,-3.861151
3,8,-3.796838
3,9,-3.931525
3,10,-3.868631
3,11,-3.244669
3,12,-3.488747
3,13,-3.483001
3,14,-3.653987
3,15,-3.795235
3,16,-3.774196
3,17,-3.652313
3,18,-3.812036
3,19,-3.877294
3,20,-3.732468
3,21,-3.788535
3,22,-3.339035
3,23,-3.148465
3,24,-3.719538
4,1,-2.214245
4,2,-2.023145
4,3,-1.954788
4,4,-1.957200
4,5,-2.176994
4,6,-2.099637
4,7,-1.888961
4,8,-2.012218
4,9,-1.968437
4,10,-2.079861
4,11,-1.765758
4,12,-2.159548
4,13,-1.846575
4,14,-2.096762
4,15,-2.071022
4,16,-2.128888
4,17,-2.027442
4,18,-2.106576
4,19,-2.119771
4,20,-2.122834
4,21,-1.966978
4,22,-1.826467
4,23,-1.771153
4,24,-2.261995
5,1,-1.155120
5,2,-0.938278
5,3,-0.907686
5,4,-0.876310
5,5,-0.967886
5,6,-0.942588
5,7,-0.798235
5,8,-0.959695
5,9,-0.807254
5,10,-0.923049
5,11,-0.743711
5,12,-1.136928
5,13,-0.866172
5,14,-0.938003
5,15,-0.906565
5,16,-0.923348
5,17,-0.874493
5,18,-0.941909
5,19,-0.910104
5,20,-0.933453
5,21,-0.857396
5,22,-0.718268
5,23,-0.832190
5,24,-1.185022
6,1,-0.534478
6,2,-0.401438
6,3,-0.331726
6,4,-0.305781
6,5,-0.338978
6,6,-0.418390
6,7,-0.278713
6,8,-0.457952
6,9,-0.266591
6,10,-0.305638
6,11,-0.265392
6,12,-0.548971
6,13,-0.329539
6,14,-0.290919
6,15,-0.334319
6,16,-0.361241
6,17,-0.333809
6,18,-0.388468
6,19,-0.327066
6,20,-0.322658
6,21,-0.347205
6,22,-0.265378
6,23,-0.307535
6,24,-0.545148
7,1,-0.176297
7,2,-0.060667
7,3,-0.023520
7,4,-0.047573
7,5,-0.043328
7,6,-0.073281
7,7,-0.009335
7,8,-0.106608
7,9,0.026493
7,10,-0.032322
7,11,0.044190
7,12,-0.181306
7,13,-0.023201
7,14,0.006730
7,15,0.009034
7,16,-0.014685
7,17,-0.001308
7,18,-0.041147
7,19,-0.009182
7,20,-0.032455
7,21,-0.026820
7,22,0.029572
7,23,-0.010201
7,24,-0.202770
8,1,0.053536
8,2,0.121944
8,3,0.194306
8,4,0.153697
8,5,0.173680
8,6,0.078326
8,7,0.200703
8,8,0.071597
8,9,0.181650
8,10,0.196825
8,11,0.196611
8,12,0.043091
8,13,0.151174
8,14,0.205725
8,15,0.191257
8,16,0.160173
8,17,0.219539
8,18,0.172430
8,19,0.174761
8,20,0.145872
8,21,0.205051
8,22,0.217030
8,23,0.185305
8,24,0.018598
9,1,0.194297
9,2,0.254356
9,3,0.338717
9,4,0.272821
9,5,0.287235
9,6,0.223024
9,7,0.321366
9,8,0.228707
9,9,0.330895
9,10,0.325437
9,11,0.324309
9,12,0.198129
9,13,0.291110
9,14,0.336066
9,15,0.310867
9,16,0.273586
9,17,0.329367
9,18,0.283475
9,19,0.279580
9,20,0.282158
9,21,0.331247
9,22,0.325707
9,23,0.318468
9,24,0.168773
10,1,0.296920
10,2,0.382890
10,3,0.424160
