E,Tau,Smoothness
2,1,-15.006301
2,2,-12.927806
2,3,-13.057097
2,4,-12.486764
2,5,-12.146702
2,6,-12.146886
2,7,-12.547655
2,8,-11.643251
2,9,-13.568796
2,10,-14.979296
2,11,-15.325031
2,12,-13.651420
2,13,-15.366196
2,14,-16.703258
2,15,-14.533225
2,16,-13.162745
2,17,-12.108357
2,18,-10.864826
2,19,-11.411972
2,20,-11.203171
2,21,-11.477820
2,22,-11.433460
2,23,-12.259406
2,24,-17.709758
3,1,-5.126632
3,2,-4.284354
3,3,-3.964951
3,4,-3.830449
3,5,-3.725470
3,6,-3.349770
3,7,-4.209155
3,8,-4.007748
3,9,-3.550721
3,10,-3.704631
3,11,-3.466951
3,12,-4.413708
3,13,-3.779625
3,14,-4.154537
3,15,-3.905389
3,16,-3.695941
3,17,-3.722347
3,18,-3.370144
3,19,-3.440276
3,20,-3.297253
3,21,-2.829193
3,22,-2.918718
3,23,-3.329822
3,24,-6.448077
4,1,-2.155272
4,2,-1.626534
4,3,-1.376792
4,4,-1.288394
4,5,-1.421443
4,6,-1.058969
4,7,-1.155863
4,8,-1.325243
4,9,-1.145692
4,10,-1.211035
4,11,-1.176207
4,12,-1.978450
4,13,-1.203509
4,14,-1.225510
4,15,-1.072777
4,16,-1.106249
4,17,-1.247744
4,18,-1.068633
4,19,-1.103834
4,20,-1.023273
4,21,-1.029970
4,22,-0.959482
4,23,-0.934209
4,24,-2.397828
5,1,-0.977983
5,2,-0.597585
5,3,-0.433942
5,4,-0.470508
5,5,-0.436557
5,6,-0.266906
5,7,-0.452232
5,8,-0.546845
5,9,-0.385810
5,10,-0.400568
5,11,-0.288432
5,12,-0.709227
5,13,-0.357268
5,14,-0.363381
5,15,-0.321253
5,16,-0.431384
5,17,-0.368370
5,18,-0.263441
5,19,-0.348251
5,20,-0.247686
5,21,-0.258727
5,22,-0.264940
5,23,-0.234962
5,24,-1.027847
6,1,-0.372318
6,2,-0.120972
6,3,-0.031948
6,4,-0.029675
6,5,0.037258
6,6,0.028344
6,7,-0.060308
6,8,-0.104093
6,9,-0.027296
6,10,-0.004514
6,11,0.040274
6,12,-0.250557
6,13,-0.012894
6,14,0.054755
6,15,0.062552
6,16,0.001653
6,17,0.005534
6,18,0.077476
6,19,0.089145
6,20,0.078275
6,21,0.071266
6,22,0.086918
6,23,0.089773
6,24,-0.314480
7,1,-0.111076
7,2,0.141015
7,3,0.183813
7,4,0.217844
7,5,0.244282
7,6,0.196911
7,7,0.181669
7,8,0.150748
7,9,0.198774
7,10,0.192708
7,11,0.252817
7,12,0.048813
7,13,0.237792
7,14,0.280570
7,15,0.272120
7,16,0.238212
7,17,0.235725
7,18,0.254248
7,19,0.273126
7,20,0.292966
7,21,0.271139
7,22,0.281294
7,23,0.278361
7,24,-0.069169
8,1,0.087291
8,2,0.285828
8,3,0.368852
8,4,0.363670
8,5,0.344486
8,6,0.353784
8,7,0.367412
8,8,0.298634
8,9,0.330614
8,10,0.347581
8,11,0.389284
8,12,0.186574
8,13,0.366432
8,14,0.407423
