E,Tau,Smoothness
2,1,-8.656159
2,2,-8.777804
2,3,-8.740328
2,4,-9.601835
2,5,-9.263215
2,6,-9.421742
2,7,-9.629595
2,8,-9.527452
2,9,-9.045350
2,10,-9.518667
2,11,-9.479376
2,12,-9.267405
2,13,-9.407315
2,14,-9.347278
2,15,-9.667851
2,16,-9.853733
2,17,-9.572901
2,18,-9.369636
2,19,-9.917731
2,20,-9.284012
2,21,-9.710050
2,22,-8.282519
2,23,-7.712773
2,24,-9.349059
3,1,-5.602711
3,2,-4.924422
3,3,-4.808764
3,4,-4.531487
3,5,-4.874801
3,6,-4.279204
3,7,-4.939313
3,8,-5.044447
3,9,-4.779168
3,10,-5.031107
3,11,-4.120877
3,12,-4.997034
3,13,-4.435183
3,14,-4.827921
3,15,-5.041209
3,16,-5.188591
3,17,-5.138727
3,18,-4.563749
3,19,-4.550760
3,20,-4.999478
3,21,-4.983772
3,22,-4.288020
3,23,-4.228164
3,24,-6.500930
4,1,-2.312359
4,2,-1.962840
4,3,-1.574830
4,4,-1.437123
4,5,-1.706355
4,6,-1.459536
4,7,-1.822216
4,8,-2.088369
4,9,-1.535489
4,10,-1.945773
4,11,-1.509621
4,12,-2.074190
4,13,-1.706279
4,14,-1.872390
4,15,-1.734772
4,16,-2.120922
4,17,-1.860227
4,18,-1.587089
4,19,-1.813723
4,20,-1.651107
4,21,-1.800296
4,22,-1.643139
4,23,-1.583831
4,24,-2.871002
5,1,-1.152603
5,2,-0.721264
5,3,-0.523761
5,4,-0.479851
5,5,-0.599070
5,6,-0.519575
5,7,-0.641748
5,8,-0.988415
5,9,-0.505672
5,10,-0.669615
5,11,-0.560056
5,12,-0.939111
5,13,-0.802394
5,14,-0.680347
5,15,-0.610503
5,16,-0.828656
5,17,-0.684731
5,18,-0.576991
5,19,-0.626645
5,20,-0.539621
5,21,-0.595949
5,22,-0.530779
5,23,-0.620897
5,24,-1.353603
6,1,-0.509002
6,2,-0.195253
6,3,-0.107208
6,4,-0.079508
6,5,-0.082601
6,6,-0.115277
6,7,-0.134909
6,8,-0.449508
6,9,-0.030693
6,10,-0.162916
6,11,-0.136872
6,12,-0.394452
6,13,-0.300647
6,14,-0.095793
6,15,-0.112294
6,16,-0.294208
6,17,-0.139303
6,18,-0.139510
6,19,-0.058375
6,20,-0.118953
6,21,-0.103618
6,22,-0.132836
6,23,-0.150364
6,24,-0.702972
7,1,-0.162640
7,2,0.132438
7,3,0.149788
7,4,0.154793
7,5,0.146244
7,6,0.124319
7,7,0.088985
7,8,-0.127874
7,9,0.177762
7,10,0.141496
7,11,0.132742
7,12,-0.058108
7,13,0.012115
7,14,0.147243
7,15,0.169437
7,16,-0.008846
7,17,0.130439
7,18,0.106761
7,19,0.166968
7,20,0.148424
7,21,0.124455
7,22,0.155478
7,23,0.096615
7,24,-0.272308
8,1,0.083427
8,2,0.304810
8,3,0.313500
8,4,0.288817
8,5,0.288712
8,6,0.254642
8,7,0.269827
8,8,0.079225
8,9,0.328735
8,10,0.295107
8,11,0.286239
8,12,0.125799
8,13,0.187361
8,14,0.288981
8,15,0.320696
8,16,0.163286
8,17,0.314295
8,18,0.273447
8,19,0.317569
8,20,0.305333
8,21,0.305713
8,22,0.326030
8,23,0.285680
8,24,-0.074953
9,1,0.235807
9,2,0.397829
9,3,0.416138
