E,Tau,Smoothness
2,1,-7.167926
2,2,-6.524174
2,3,-6.410011
2,4,-6.694687
2,5,-6.726331
2,6,-6.730129
2,7,-6.794663
2,8,-7.076067
2,9,-6.809774
2,10,-6.745517
2,11,-6.915359
2,12,-6.770968
2,13,-6.668882
2,14,-6.794947
2,15,-6.849907
2,16,-6.778731
2,17,-6.755896
2,18,-6.838363
2,19,-6.633899
2,20,-6.429610
2,21,-6.524013
2,22,-6.392056
2,23,-6.363291
2,24,-6.773587
3,1,-4.873758
3,2,-4.516784
3,3,-4.685309
3,4,-4.435205
3,5,-4.594047
3,6,-4.461056
3,7,-4.538721
3,8,-4.520214
3,9,-4.315775
3,10,-4.267841
3,11,-4.106575
3,12,-4.687998
3,13,-4.345941
3,14,-4.206404
3,15,-4.412081
3,16,-4.414115
3,17,-4.441716
3,18,-4.532786
3,19,-4.476277
3,20,-4.434876
3,21,-4.417170
3,22,-3.891657
3,23,-4.188793
3,24,-4.885889
4,1,-2.349399
4,2,-1.972456
4,3,-1.828663
4,4,-1.721892
4,5,-1.839130
4,6,-1.737724
4,7,-1.727909
4,8,-1.800397
4,9,-1.680661
4,10,-1.650905
4,11,-1.627724
4,12,-2.073724
4,13,-1.780247
4,14,-1.749459
4,15,-1.668853
4,16,-1.838830
4,17,-1.586628
4,18,-1.827200
4,19,-1.779298
4,20,-1.790337
4,21,-1.744716
4,22,-1.615254
4,23,-1.765846
4,24,-2.328289
5,1,-1.007958
5,2,-0.839594
5,3,-0.749214
5,4,-0.644290
5,5,-0.696874
5,6,-0.775841
5,7,-0.627704
5,8,-0.783065
5,9,-0.617717
5,10,-0.614594
5,11,-0.613496
5,12,-0.889918
5,13,-0.694179
5,14,-0.677380
5,15,-0.554183
5,16,-0.763482
5,17,-0.610711
5,18,-0.714349
5,19,-0.572886
5,20,-0.686624
5,21,-0.678184
5,22,-0.587300
5,23,-0.682124
5,24,-0.988852
6,1,-0.459308
6,2,-0.260605
6,3,-0.231130
6,4,-0.165535
6,5,-0.188350
6,6,-0.267175
6,7,-0.155217
6,8,-0.269691
6,9,-0.109642
6,10,-0.102334
6,11,-0.156452
6,12,-0.326207
6,13,-0.183660
6,14,-0.159893
6,15,-0.107322
6,16,-0.254320
6,17,-0.135297
6,18,-0.193439
6,19,-0.109234
6,20,-0.168326
6,21,-0.177851
6,22,-0.120368
6,23,-0.152926
6,24,-0.398354
7,1,-0.123359
7,2,0.064219
7,3,0.068472
7,4,0.085702
7,5,0.063934
7,6,0.032531
7,7,0.080899
7,8,0.004711
7,9,0.135926
7,10,0.138702
7,11,0.130957
7,12,-0.042618
7,13,0.091588
7,14,0.098868
7,15,0.115280
7,16,0.067253
7,17,0.114504
7,18,0.099332
7,19,0.135855
7,20,0.110476
7,21,0.061330
7,22,0.141937
7,23,0.108582
7,24,-0.106126
8,1,0.074680
8,2,0.249181
8,3,0.254433
8,4,0.253838
8,5,0.247681
8,6,0.207420
8,7,0.265760
8,8,0.168159
8,9,0.290493
8,10,0.310198
8,11,0.300243
8,12,0.118514
8,13,0.252471
8,14,0.264743
8,15,0.292880
8,16,0.205241
8,17,0.300133
8,18,0.274051
8,19,0.296518
8,20,0.269402
8,21,0.245938
8,22,0.286845
8,23,0.271198
8,24,0.084412
9,1,0.226816
9,2,0.337965
9,3,0.362704
9,4,0.356419
9,5,0.367480
9,6,0.320332
9,7,0.365107
9,8,0.286684
9,9,0.398919
9,10,0.398177
9,11,0.399105
9,12,0.247051
9,13,0.357612
9,14,0.387980
9,15,0.390999
9,16,0.350712
9,17,0.398897
9,18,0.374182
9,19,0.397432
9,20,0.360299
9,21,0.365742
9,22,0.383855
9,23,0.385083
9,24,0.215372
10,1,0.331025
10,2,0.426484
