E,Tau,Smoothness
2,1,-1.350348
2,2,-1.747488
2,3,-1.152979
2,4,-1.788374
2,5,-1.256546
2,6,-1.641042
2,7,-1.517484
2,8,-1.402917
2,9,-1.138260
2,10,-1.498483
2,11,-1.164287
2,12,-1.451254
2,13,-1.223026
2,14,-1.561946
2,15,-1.209064
2,16,-1.671822
2,17,-1.498746
2,18,-1.571948
2,19,-1.586176
2,20,-1.520818
2,21,-1.433468
2,22,-1.081886
2,23,-1.644420
2,24,-1.170777
3,1,-1.270787
3,2,-1.359648
3,3,-1.220905
3,4,-1.387294
3,5,-1.323647
3,6,-1.271275
3,7,-1.474727
3,8,-1.272332
3,9,-1.131368
3,10,-1.243031
3,11,-0.963098
3,12,-1.128419
3,13,-1.099886
3,14,-1.224057
3,15,-1.149233
3,16,-1.064885
3,17,-1.081776
3,18,-1.112771
3,19,-1.176216
3,20,-1.144838
3,21,-1.104673
3,22,-1.078674
3,23,-1.034990
3,24,-1.022869
4,1,-1.034562
4,2,-1.149327
4,3,-1.172799
4,4,-1.203938
4,5,-1.207558
4,6,-1.174771
4,7,-1.164031
4,8,-1.204544
4,9,-1.081167
4,10,-1.141495
4,11,-1.067644
4,12,-1.073072
4,13,-1.162839
4,14,-1.108254
4,15,-1.101538
4,16,-1.147782
4,17,-1.186734
4,18,-1.133215
4,19,-1.222448
4,20,-1.188411
4,21,-1.036209
4,22,-1.037271
4,23,-0.926152
4,24,-1.044741
5,1,-0.903441
5,2,-0.908477
5,3,-0.844441
5,4,-0.905779
5,5,-0.908267
5,6,-0.862099
5,7,-0.809051
5,8,-0.843271
5,9,-0.901348
5,10,-0.898246
5,11,-0.791980
5,12,-0.835441
5,13,-0.843312
5,14,-0.833502
5,15,-0.918953
5,16,-0.888535
5,17,-0.859185
5,18,-0.846819
5,19,-0.955369
5,20,-0.988825
5,21,-0.866467
5,22,-0.748522
5,23,-0.711015
5,24,-0.808945
6,1,-0.612762
6,2,-0.577442
6,3,-0.479817
6,4,-0.532350
6,5,-0.492911
6,6,-0.485867
6,7,-0.506723
6,8,-0.556499
6,9,-0.453633
6,10,-0.462353
6,11,-0.462595
6,12,-0.515601
6,13,-0.489244
6,14,-0.438505
6,15,-0.514050
6,16,-0.499229
6,17,-0.528051
6,18,-0.463434
6,19,-0.451992
6,20,-0.560463
6,21,-0.500003
6,22,-0.372940
6,23,-0.425264
6,24,-0.529974
7,1,-0.315843
7,2,-0.274198
7,3,-0.159558
7,4,-0.198266
7,5,-0.191629
7,6,-0.194387
7,7,-0.192731
7,8,-0.249822
7,9,-0.193101
7,10,-0.160918
7,11,-0.151150
7,12,-0.209096
7,13,-0.196243
7,14,-0.125486
7,15,-0.158707
7,16,-0.196942
7,17,-0.192965
7,18,-0.203802
7,19,-0.124036
7,20,-0.218460
7,21,-0.168059
7,22,-0.075531
7,23,-0.145557
7,24,-0.252355
8,1,-0.063788
8,2,0.001972
8,3,0.059615
8,4,0.025617
8,5,0.025682
8,6,0.001649
8,7,0.030932
8,8,-0.013713
8,9,0.062682
8,10,0.098092
8,11,0.071448
8,12,-0.014165
8,13,0.043906
8,14,0.079456
8,15,0.050959
8,16,0.030581
8,17,0.074993
8,18,0.022409
8,19,0.072637
8,20,-0.000511
8,21,0.076891
8,22,0.120454
8,23,0.087091
8,24,-0.064525
9,1,0.090410
9,2,0.174866
9,3,0.226975
9,4,0.144011
9,5,0.198338
9,6,0.160840
9,7,0.175952
9,8,0.148194
9,9,0.228030
9,10,0.200305
9,11,0.218208
9,12,0.161030
9,13,0.183124
9,14,0.220461
9,15,0.209746
9,16,0.176585
9,17,0.230459
9,18,0.211277
9,19,0.198839
9,20,0.177838
9,21,0.224146
9,22,0.258722
9,23,0.232459
9,24,0.094960
10,1,0.232445
10,2,0.311793
10,3,0.316198
10,4,0.275033
10,5,0.319334
10,6,0.290125
10,7,0.313411
10,8,0.276720
10,9,0.340484
10,10,0.314196
10,11,0.348736
10,12,0.266636
10,13,0.319386
10,14,0.348894
10,15,0.308161
10,16,0.293154
10,17,0.307219
10,18,0.296086
10,19,0.320029
10,20,0.298749
10,21,0.335090
10,22,0.339130
10,23,0.335191
10,24,0.208524
