지역,측정소명,측정일시,SO2,CO,O3,NO2,PM10
서울,강남구,2014070101,0.006,0.5,0.008,0.043,44
서울,강동구,2014070101,0.004,0.6,0.007,0.05,34
서울,강북구,2014070101,0.004,0.3,0.023,0.026,37
서울,강서구,2014070101,0.005,0.4,0.039,0.017,37
서울,관악구,2014070101,0.005,0.6,0.013,0.034,52
서울,광진구,2014070101,0.001,0.8,0.016,0.033,43
서울,구로구,2014070101,0.007,0.6,0.021,0.027,47
서울,금천구,2014070101,0.006,0.4,0.012,0.03,43
서울,노원구,2014070101,0.005,0.4,0.013,0.035,34
서울,도봉구,2014070101,0.004,0.3,0.027,0.022,32
서울,동대문구,2014070101,0.005,0.4,0.034,0.021,35
서울,동작구,2014070101,0.009,0.4,0.018,0.033,45
서울,마포구,2014070101,0.005,0.5,0.033,0.019,40
서울,서대문구,2014070101,0.004,0.1,0.035,0.018,23
서울,서초구,2014070101,0.006,0.5,0.013,0.035,51
서울,성동구,2014070101,0.004,0.5,0.018,0.051,46
서울,성북구,2014070101,0.003,0.4,0.02,0.024,27
서울,송파구,2014070101,-999,-999,-999,-999,-999
서울,양천구,2014070101,0.006,0.4,0.033,0.021,52
서울,영등포구,2014070101,0.005,0.7,0.032,0.025,35
서울,용산구,2014070101,0.005,0.6,0.022,0.029,39
서울,은평구,2014070101,0.004,0.2,0.035,0.015,41
서울,종로구,2014070101,0.006,0.2,0.032,0.022,33
서울,중구,2014070101,0.003,0.1,0.037,0.024,29
서울,중랑구,2014070101,0.004,0.4,0.027,0.034,40
서울,강남구,2014070102,0.007,0.5,0.014,0.032,45
서울,강동구,2014070102,0.004,0.6,0.01,0.041,37
서울,강북구,2014070102,0.004,0.3,0.026,0.019,41
서울,강서구,2014070102,0.005,0.4,0.039,0.014,29
서울,관악구,2014070102,0.005,0.5,0.018,0.025,52
서울,광진구,2014070102,0.004,0.8,0.026,0.023,41
서울,구로구,2014070102,0.007,0.6,0.02,0.025,50
서울,금천구,2014070102,0.005,0.3,0.018,0.019,53
서울,노원구,2014070102,0.005,0.4,0.012,0.031,40
서울,도봉구,2014070102,0.004,0.8,0.028,0.016,31
서울,동대문구,2014070102,0.005,0.4,0.046,0.011,34
서울,동작구,2014070102,0.007,0.3,0.025,0.023,43
서울,마포구,2014070102,0.005,0.5,0.032,0.016,32
서울,서대문구,2014070102,0.005,0.1,0.044,0.01,39
서울,서초구,2014070102,0.006,0.5,0.019,0.026,41
서울,성동구,2014070102,0.003,0.5,0.018,0.041,36
서울,성북구,2014070102,0.002,0.4,0.031,0.016,35
서울,송파구,2014070102,0.004,0.6,0.01,0.034,-999
서울,양천구,2014070102,0.006,0.4,0.032,0.019,51
서울,영등포구,2014070102,0.005,0.7,0.029,0.021,30
서울,용산구,2014070102,0.005,0.6,0.018,0.024,35
서울,은평구,2014070102,0.004,0.3,0.025,0.015,31
서울,종로구,2014070102,0.005,0.2,0.039,0.015,30
서울,중구,2014070102,0.003,0.1,0.042,0.019,34
서울,중랑구,2014070102,0.004,0.4,0.042,0.019,37
서울,강남구,2014070103,0.006,0.5,0.017,0.025,39
서울,강동구,2014070103,0.004,0.6,0.012,0.033,39
서울,강북구,2014070103,0.004,0.3,0.021,0.019,41
서울,강서구,2014070103,0.005,0.4,0.035,0.015,31
서울,관악구,2014070103,0.005,0.5,0.025,0.017,47
서울,광진구,2014070103,0.004,0.8,0.025,0.022,42
서울,구로구,2014070103,0.005,0.5,0.03,0.013,40
서울,금천구,2014070103,0.005,0.3,0.023,0.013,41
서울,노원구,2014070103,0.005,0.3,0.017,0.021,42
서울,도봉구,2014070103,0.004,0.6,0.025,0.017,28
서울,동대문구,2014070103,0.004,0.4,0.045,0.009,29
서울,동작구,2014070103,0.008,0.4,0.029,0.017,30
서울,마포구,2014070103,0.005,0.5,0.034,0.012,37
서울,서대문구,2014070103,0.005,0.4,0.04,0.011,36
서울,서초구,2014070103,0.006,0.4,0.027,0.016,39
서울,성동구,2014070103,0.004,0.5,0.011,0.044,38
서울,성북구,2014070103,0.002,0.4,0.035,0.014,27
서울,송파구,2014070103,0.005,0.6,0.012,0.029,-999
서울,양천구,2014070103,0.006,0.4,0.02,0.022,50
서울,영등포구,2014070103,0.004,0.8,0.021,0.022,46
서울,용산구,2014070103,0.004,0.6,0.022,0.018,33
서울,은평구,2014070103,0.004,0.3,0.018,0.015,38
서울,종로구,2014070103,0.005,0.2,0.039,0.011,32
서울,중구,2014070103,0.002,0.1,0.041,0.017,31
서울,중랑구,2014070103,0.005,0.4,0.04,0.017,29
서울,강남구,2014070104,0.007,0.4,0.022,0.018,41
서울,강동구,2014070104,0.004,0.6,0.017,0.025,37
서울,강북구,2014070104,0.005,0.3,0.018,0.019,36
서울,강서구,2014070104,0.006,0.4,0.04,0.012,29
서울,관악구,2014070104,0.004,0.5,0.032,0.01,38
서울,광진구,2014070104,0.005,0.7,0.027,0.018,37
서울,구로구,2014070104,0.006,0.5,0.029,0.013,36
서울,금천구,2014070104,0.005,0.3,0.025,0.009,32
서울,노원구,2014070104,0.004,0.3,0.011,0.025,38
서울,도봉구,2014070104,0.004,0.7,0.021,0.016,27
서울,동대문구,2014070104,0.005,0.4,0.043,0.009,36
서울,동작구,2014070104,0.007,0.3,0.033,0.013,35
서울,마포구,2014070104,0.005,0.5,0.036,0.008,34
서울,서대문구,2014070104,0.005,0.2,0.042,0.008,30
서울,서초구,2014070104,0.006,0.4,0.03,0.012,39
서울,성동구,2014070104,0.004,0.4,0.014,0.034,39
서울,성북구,2014070104,0.002,0.3,0.04,0.01,38
서울,송파구,2014070104,0.004,0.6,0.015,0.025,-999
서울,양천구,2014070104,0.006,0.4,0.022,0.017,42
서울,영등포구,2014070104,0.004,0.7,0.02,0.02,32
서울,용산구,2014070104,0.005,0.6,0.026,0.014,32
서울,은평구,2014070104,0.003,0.2,0.022,0.011,30
서울,종로구,2014070104,0.004,0.2,0.037,0.011,33
서울,중구,2014070104,0.003,0.1,0.042,0.014,32
서울,중랑구,2014070104,0.005,0.4,0.042,0.014,38
서울,강남구,2014070105,0.007,0.4,0.022,0.017,37
서울,강동구,2014070105,0.004,0.5,0.008,0.032,37
서울,강북구,2014070105,0.004,0.3,0.015,0.021,41
서울,강서구,2014070105,0.005,0.4,0.032,0.017,36
서울,관악구,2014070105,0.005,0.5,0.028,0.012,43
서울,광진구,2014070105,0.004,0.7,0.02,0.023,36
서울,구로구,2014070105,0.006,0.5,0.025,0.014,34
서울,금천구,2014070105,0.005,0.3,0.019,0.012,31
서울,노원구,2014070105,0.004,0.4,0.013,0.021,50
서울,도봉구,2014070105,0.004,0.5,0.017,0.018,32
서울,동대문구,2014070105,0.005,0.4,0.046,0.007,30
서울,동작구,2014070105,0.007,0.4,0.024,0.016,26
서울,마포구,2014070105,0.004,0.4,0.042,0.005,32
서울,서대문구,2014070105,0.004,0.1,0.044,0.007,26
서울,서초구,2014070105,0.006,0.4,0.031,0.012,34
서울,성동구,2014070105,0.003,0.4,0.012,0.033,36
서울,성북구,2014070105,0.002,0.4,0.028,0.015,23
서울,송파구,2014070105,0.004,0.7,0.015,0.022,-999
서울,양천구,2014070105,0.006,0.4,0.023,0.016,36
서울,영등포구,2014070105,0.004,0.7,0.021,0.02,34
서울,용산구,2014070105,0.005,0.5,0.029,0.01,33
서울,은평구,2014070105,0.003,0.2,0.028,0.009,32
서울,종로구,2014070105,0.005,0.2,0.04,0.01,27
서울,중구,2014070105,0.002,0.1,0.046,0.012,29
서울,중랑구,2014070105,0.005,0.4,0.025,0.024,33
서울,강남구,2014070106,0.007,0.4,0.01,0.029,33
서울,강동구,2014070106,0.004,0.5,0.003,0.035,32
서울,강북구,2014070106,0.004,0.3,0.014,0.024,33
서울,강서구,2014070106,0.005,0.4,0.026,0.018,34
서울,관악구,2014070106,0.004,0.5,0.022,0.014,38
서울,광진구,2014070106,0.004,0.7,0.005,0.029,37
서울,구로구,2014070106,0.007,0.5,0.014,0.024,37
서울,금천구,2014070106,0.005,0.3,0.011,0.022,32
서울,노원구,2014070106,0.005,0.3,0.017,0.016,36
서울,도봉구,2014070106,0.004,0.3,0.019,0.02,27
서울,동대문구,2014070106,0.005,0.5,0.014,0.027,25
서울,동작구,2014070106,0.007,0.4,0.015,0.019,39
서울,마포구,2014070106,0.004,0.4,0.04,0.006,29
서울,서대문구,2014070106,0.004,0.3,0.042,0.006,30
서울,서초구,2014070106,0.006,0.5,0.021,0.018,37
서울,성동구,2014070106,0.003,0.4,0.009,0.04,33
서울,성북구,2014070106,0.002,0.4,0.011,0.026,27
서울,송파구,2014070106,0.004,0.7,0.01,0.026,-999
서울,양천구,2014070106,0.006,0.4,0.023,0.019,31
서울,영등포구,2014070106,0.004,0.7,0.02,0.025,30
서울,용산구,2014070106,0.004,0.5,0.029,0.01,27
서울,은평구,2014070106,0.003,0.2,0.029,0.012,23
서울,종로구,2014070106,0.005,0.2,0.019,0.02,25
서울,중구,2014070106,0.002,0.1,0.026,0.022,28
서울,중랑구,2014070106,0.004,0.4,0.017,0.027,36
서울,강남구,2014070107,0.007,0.5,0.004,0.037,31
서울,강동구,2014070107,0.003,0.5,0.005,0.033,32
서울,강북구,2014070107,0.004,0.3,0.012,0.027,30
서울,강서구,2014070107,0.006,0.4,0.028,0.023,26
서울,관악구,2014070107,0.005,0.5,0.018,0.022,37
서울,광진구,2014070107,0.004,0.7,0.008,0.027,33
서울,구로구,2014070107,0.008,0.5,0.018,0.026,32
서울,금천구,2014070107,0.005,0.4,0.01,0.028,35
서울,노원구,2014070107,0.005,0.4,0.012,0.022,36
서울,도봉구,2014070107,0.004,0.5,0.01,0.027,28
서울,동대문구,2014070107,0.005,0.5,0.011,0.031,32
서울,동작구,2014070107,0.007,0.5,0.007,0.036,37
서울,마포구,2014070107,0.004,0.5,0.028,0.017,32
서울,서대문구,2014070107,0.004,0.3,0.03,0.01,25
서울,서초구,2014070107,0.006,0.5,0.017,0.023,37
서울,성동구,2014070107,0.004,0.5,0.005,0.051,28
서울,성북구,2014070107,0.002,0.5,0.007,0.031,33
서울,송파구,2014070107,0.004,0.6,0.005,0.031,-999
서울,양천구,2014070107,0.006,0.4,0.013,0.029,36
서울,영등포구,2014070107,0.004,0.6,0.01,0.035,29
서울,용산구,2014070107,0.005,0.6,0.017,0.019,28
서울,은평구,2014070107,0.004,0.2,0.02,0.019,25
서울,종로구,2014070107,0.005,0.3,0.01,0.029,24
서울,중구,2014070107,0.002,0.2,0.01,0.036,30
서울,중랑구,2014070107,0.005,0.5,0.01,0.035,31
서울,강남구,2014070108,0.007,0.5,0.012,0.03,37
서울,강동구,2014070108,0.004,0.6,0.007,0.035,35
서울,강북구,2014070108,0.004,0.4,0.013,0.03,30
서울,강서구,2014070108,0.006,0.5,0.022,0.031,29
서울,관악구,2014070108,0.005,0.5,0.019,0.024,35
서울,광진구,2014070108,0.005,0.8,0.009,0.03,37
서울,구로구,2014070108,0.007,0.5,0.023,0.022,38
서울,금천구,2014070108,0.005,0.3,0.019,0.021,38
서울,노원구,2014070108,0.005,0.4,0.014,0.027,26
서울,도봉구,2014070108,0.004,0.1,0.01,0.028,24
서울,동대문구,2014070108,0.005,0.5,0.011,0.035,33
서울,동작구,2014070108,0.007,0.5,0.019,0.03,39
서울,마포구,2014070108,0.004,0.6,0.017,0.031,30
서울,서대문구,2014070108,0.004,0.4,0.019,0.02,29
서울,서초구,2014070108,0.006,0.5,0.019,0.025,40
서울,성동구,2014070108,0.004,0.5,0.007,0.053,35
서울,성북구,2014070108,0.002,0.5,0.012,0.031,21
서울,송파구,2014070108,0.005,0.6,0.008,0.034,-999
서울,양천구,2014070108,0.006,0.4,0.025,0.02,33
서울,영등포구,2014070108,0.004,0.6,0.011,0.034,35
서울,용산구,2014070108,0.005,0.6,0.011,0.033,34
서울,은평구,2014070108,0.004,0.3,0.019,0.021,23
서울,종로구,2014070108,0.005,0.3,0.014,0.031,22
서울,중구,2014070108,0.003,0.3,0.016,0.037,35
서울,중랑구,2014070108,0.005,0.5,0.016,0.032,33
서울,강남구,2014070109,0.007,0.5,0.021,0.027,39
서울,강동구,2014070109,0.004,0.6,0.017,0.033,39
서울,강북구,2014070109,0.004,0.4,0.015,0.035,35
