E,Tau,Smoothness
3,1,-1188059322762.753662
3,2,-2.782855
3,3,-2845100196764.916016
3,4,-3.006643
3,5,-3.317958
3,6,-1912605711076.223877
3,7,-2.855447
3,8,-3.045543
3,9,-3.035343
3,10,-3.047011
4,1,-1.312148
4,2,-1.051142
4,3,-0.884863
4,4,-1.034521
4,5,-1.177052
4,6,-1.104929
4,7,-0.801095
4,8,-1.059945
4,9,-1.026289
4,10,-0.865419
5,1,-0.494051
5,2,-0.275889
5,3,-0.263052
5,4,-0.348665
5,5,-0.275681
5,6,-0.378343
5,7,-0.182058
5,8,-0.279034
5,9,-0.272280
5,10,-0.281211
6,1,-0.151971
6,2,0.032020
6,3,0.010854
6,4,0.036189
6,5,0.013310
6,6,0.035159
6,7,0.124849
