E,Tau,Smoothness
1,1,-661019389469616.750000
1,2,-661019389469616.750000
1,3,-661019389469616.750000
1,4,-661019389469616.750000
1,5,-661019389469616.750000
1,6,-661019389469616.750000
1,7,-661019389469616.750000
2,1,-15.937554
2,2,-17.702009
2,3,-20.745949
2,4,-5054718925342.040039
2,5,-18.258120
2,6,-16.771519
2,7,-20113433570379.070313
3,1,-4.051376
3,2,-3.934607
3,3,-3.498385
3,4,-3.474178
3,5,-3.668661
3,6,-3.690669
3,7,-3.552123
4,1,-1.466717
4,2,-1.218373
4,3,-1.250385
4,4,-1.318891
4,5,-1.343891
4,6,-1.150596
4,7,-1.204386
5,1,-0.615945
5,2,-0.462361
5,3,-0.455332
5,4,-0.482972
5,5,-0.400257
5,6,-0.392328
5,7,-0.371979
6,1,-0.220237
6,2,-0.017440
6,3,-0.041185
6,4,-0.132830
6,5,-0.070600
6,6,-0.043501
6,7,-0.021182
7,1,0.008087
7,2,0.183050
7,3,0.170063
7,4,0.103248
7,5,0.124189
7,6,0.182877
7,7,0.159717
8,1,0.184043
8,2,0.286165
8,3,0.305857
8,4,0.297686
8,5,0.273381
8,6,0.306199
8,7,0.287438
9,1,0.314851
9,2,0.398868
9,3,0.382358
9,4,0.398725
9,5,0.391004
9,6,0.380726
9,7,0.369136
10,1,0.371372
10,2,0.455523
10,3,0.481968
10,4,0.456600
10,5,0.451929
10,6,0.451688
10,7,0.451478
11,1,0.447009
11,2,0.503730
05
