E,Tau,Smoothness
1,1,-4169708799485.052734
1,2,-4169708799485.052734
1,3,-4169708799485.052734
1,4,-4169708799485.052734
1,5,-4169708799485.052734
1,6,-4169708799485.052734
1,7,-4169708799485.052734
2,1,-21.083249
2,2,-16.853533
2,3,-17.775917
2,4,-18.645765
2,5,-18.049977
2,6,-17.673097
2,7,-16.560724
3,1,-4.012296
3,2,-3.702009
3,3,-3.264714
3,4,-3.541134
3,5,-3.416089
3,6,-3.007313
3,7,-3.434508
4,1,-1.593617
4,2,-1.306459
4,3,-0.973921
4,4,-1.290536
4,5,-1.158307
4,6,-1.005083
4,7,-1.108841
5,1,-0.681046
5,2,-0.440475
5,3,-0.320527
5,4,-0.450737
5,5,-0.366437
5,6,-0.291629
5,7,-0.328587
6,1,-0.203907
6,2,-0.078303
6,3,0.032655
6,4,-0.013736
6,5,-0.026795
6,6,0.046147
6,7,0.006493
7,1,0.008566
7,2,0.150102
7,3,0.173438
7,4,0.194197
7,5,0.135130
7,6,0.263659
7,7,0.209830
8,1,0.160502
8,2,0.277978
8,3,0.344783
8,4,0.336250
8,5,0.317760
8,6,0.360363
8,7,0.334318
9,1,0.255551
9,2,0.406718
9,3,0.432246
9,4,0.434485
9,5,0.442984
9,6,0.427562
9,7,0.430908
10,1,0.333733
10,2,0.487955
10,3,0.477648
10,4,0.499785
10,5,0.511410
