E,Tau,Smoothness
1,1,-1133190401119952.250000
1,2,-1133190401119952.250000
1,3,-1133190401119952.250000
1,4,-1133190401119952.250000
1,5,-1133190401119952.250000
1,6,-1133190401119952.250000
1,7,-1133190401119952.250000
2,1,-17.807027
2,2,-16.877419
2,3,-17.187691
2,4,-1405583817402.083984
2,5,-4890342136824.804688
2,6,-13.623601
2,7,-16.583970
3,1,-4.307588
3,2,-3.483212
3,3,-3.325687
3,4,-3.587582
3,5,-3.022676
3,6,-2.912781
3,7,-3.282888
4,1,-1.260254
4,2,-1.301520
4,3,-1.166894
4,4,-1.261151
4,5,-1.086482
4,6,-1.096248
4,7,-1.186955
5,1,-0.524797
5,2,-0.455207
5,3,-0.436754
5,4,-0.339668
5,5,-0.385890
5,6,-0.330299
5,7,-0.364884
6,1,-0.166334
6,2,-0.022416
6,3,-0.000145
6,4,-0.073585
6,5,-0.024078
6,6,0.040879
6,7,-0.030263
7,1,0.098904
7,2,0.160878
7,3,0.188133
7,4,0.147303
7,5,0.173474
7,6,0.209639
7,7,0.208900
8,1,0.232754
8,2,0.308651
8,3,0.309963
8,4,0.290786
8,5,0.308918
8,6,0.305292
8,7,0.326169
9,1,0.364105
9,2,0.423737
9,3,0.409730
9,4,0.390207
9,5,0.380221
9,6,0.401750
9,7,0.437197
10,1,0.435283
10,2,0.478053
10,3,0.481827
10,4,0.458570
10,5,0.486861
10,6,0.435369
10,7,0.502178

11,1,0.463067
11,2,0.533331
0.499442
11,5,0.522241
