0.008,0.002,0.01,0.009,0.005,0.005,0.006,0.004,0.007,0.017,0.006,0.002,0.005,0.004,0.005,0.002,0.004,0.004,0.005,0.008,0.003,0.002,0.003,0.004,0.004,
0.006,0.004,0.009,0.012,0.005,0.005,0.005,0.004,0.007,0.019,0.005,0.002,0.006,0.002,0.005,0.002,0.004,0.005,0.004,0.007,0.005,0.002,0.002,0.004,0.003,
0.003,0.003,0.013,0.006,0.004,0.004,0.003,0.003,0.006,0.015,0.005,0.003,0.004,0.003,0.006,0.001,0.003,0.004,0.004,0.006,0.002,0.002,0.002,0.003,0.003,
0.005,0.002,0.008,0.003,0.004,0.004,0.004,0.002,0.002,0.016,0.004,0.006,0.004,0.002,0.007,0,0.004,0.003,0.004,0.005,0.001,0.002,0.002,0.003,0.004,
0.006,0.002,0.016,0.002,0.004,0.004,0.003,0.006,0.002,0.019,0.003,0.004,0.004,0.002,0.008,0.001,0.007,0.003,0.006,0.008,0.001,0.003,0.002,0.003,0.002,
0.007,0.002,0.016,0.002,0.005,0.003,0.004,0.01,0.002,0.024,0.002,0.001,0.004,0.003,0.011,0.001,0.006,0.003,0.008,0.008,0.002,0.005,0.001,0.003,0.003,
0.013,0.002,0.014,0.002,0.006,0.003,0.003,0.006,0.002,0.024,0.003,0.016,0.005,0.002,0.011,0,0.003,0.003,0.007,0.008,0.003,0.004,0.002,0.003,0.002,
0.012,0.002,0.007,0.002,0.009,0.003,0.004,0.009,0.002,0.013,0.002,0.018,0.005,0.002,0.013,0,0.002,0.003,0.006,0.008,0.003,0.002,0.001,0.003,0.003,
0.005,0.003,0.011,0.003,0.008,0.004,0.005,0.011,0.002,0.017,0.004,0.017,0.007,0.003,0.018,0.001,0.003,0.004,0.006,0.008,0.004,0.002,0.003,0.003,0.003,
0.012,0.006,0.012,0.013,0.014,0.004,0.009,0.013,0.003,0.024,0.007,0.019,0.012,0.004,0.018,0.003,0.004,0.008,0.009,0.011,0.007,0.004,0.004,0.005,0.004,
0.024,0.004,0.014,0.02,0.016,0.011,0.014,0.015,0.009,0.024,0.011,0.019,0.016,0.008,0.02,0.013,0.006,0.017,0.014,0.014,0.013,0.009,0.007,0.011,0.005,
0.026,0.019,0.023,0.026,0.024,0.019,0.021,0.021,0.015,0.031,0.019,0.022,0.023,0.019,0.023,0.016,0.017,0.023,0.019,0.023,0.018,0.021,0.012,0.02,0.014,
0.029,0.025,0.027,0.029,0.026,0.024,0.022,0.022,0.018,0.035,0.023,0.024,0.025,0.022,0.026,0.021,0.026,0.028,0.019,0.024,0.02,0.023,0.015,0.024,0.02,
0.028,0.025,0.023,0.028,0.025,0.024,0.022,0.022,0.017,0.033,0.023,0.023,0.025,0.022,0.024,0.021,0.025,0.027,0.018,0.024,0.021,0.023,0.015,0.023,0.021,
0.028,0.025,0.025,0.03,0.027,0.024,0.023,0.024,0.017,0.033,0.024,0.025,0.025,0.022,0.025,0.021,0.026,0.028,0.02,0.025,0.02,0.023,0.016,0.024,0.021,
0.031,0.026,0.029,0.032,0.029,0.025,0.023,0.026,0.019,0.037,0.025,0.027,0.028,0.025,0.029,0.021,0.027,0.028,0.02,0.026,0.022,0.025,0.017,0.027,0.023,
0.031,0.025,0.027,0.027,0.026,0.025,0.023,0.023,0.015,0.037,0.022,0.025,0.024,0.021,0.026,0.019,0.026,0.029,0.018,0.025,0.02,0.022,0.013,0.021,0.02,
